Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
W Barresi,137*,137,184,1,1,150,11,2,91.33,1,v Kenya,Lincoln,2014/01/23,Netherlands,0,1,100-149,,,,,,,,,,
RN ten Doeschate,119,119,160,1,0,110,9,3,108.18,1,v England,Nagpur,2011/02/22,Netherlands,0,1,100-149,,,,,,,,,,
RN ten Doeschate,106,106,166,1,0,108,13,1,98.14,1,v Ireland,Kolkata,2011/03/18,Netherlands,0,1,100-149,,,,,,,,,,
ES Szwarczynski,98,98,168,1,0,116,11,0,84.48,2,v South Africa,Amstelveen,2013/05/31,Netherlands,1,0,50-99,,,,,,,,,,
"MP O'Dowd",86*,86,152,1,1,119,10,0,72.26,2,v Zimbabwe,Deventer,2019/06/19,Netherlands,1,0,50-99,,,,,,,,,,
PW Borren,84,84,108,1,0,82,10,0,102.43,1,v Ireland,Kolkata,2011/03/18,Netherlands,1,0,50-99,,,,,,,,,,
AN Kervezee,83*,83,-,1,1,63,13,2,131.74,2,v Afghanistan,Sharjah,2012/03/29,Netherlands,1,0,50-99,,,,,,,,,,
ES Szwarczynski,75*,75,137,1,1,116,7,0,64.65,2,v Canada,Mount Maunganui,2014/01/28,Netherlands,1,0,50-99,,,,,,,,,,
TLW Cooper,75,75,139,1,0,103,2,1,72.81,2,v Scotland,Aberdeen,2011/06/28,Netherlands,1,0,50-99,,,,,,,,,,
BN Cooper,74,74,-,1,0,59,8,2,125.42,1,v Canada,King City (NW),2013/08/27,Netherlands,1,0,50-99,,,,,,,,,,
PW Borren,71*,71,122,1,1,107,5,0,66.35,1,v Scotland,Aberdeen,2011/06/29,Netherlands,1,0,50-99,,,,,,,,,,
W Barresi,71,71,-,1,0,89,8,0,79.77,2,v Nepal,Amstelveen,2018/08/03,Netherlands,1,0,50-99,,,,,,,,,,
W Barresi,67,67,93,1,0,86,3,3,77.90,2,v Kenya,The Hague,2011/09/13,Netherlands,1,0,50-99,,,,,,,,,,
PW Borren,61*,61,49,1,1,34,8,2,179.41,2,v Canada,Mount Maunganui,2014/01/28,Netherlands,1,0,50-99,,,,,,,,,,
"MP O'Dowd",59,59,123,1,0,81,3,1,72.83,2,v Zimbabwe,Deventer,2019/06/21,Netherlands,1,0,50-99,,,,,,,,,,
ES Szwarczynski,57,57,116,1,0,94,5,0,60.63,1,v Kenya,Lincoln,2014/01/23,Netherlands,1,0,50-99,,,,,,,,,,
RE van der Merwe,57,57,68,1,0,54,5,1,105.55,2,v Zimbabwe,Deventer,2019/06/21,Netherlands,1,0,50-99,,,,,,,,,,
