Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
Imran Nazir,160,160,201,1,0,121,14,8,132.23,1,v Zimbabwe,Kingston,2007/03/21,Pakistan,0,1,150-199,,,,,,,,,,
Younis Khan,144,144,165,1,0,122,8,3,118.03,1,v Hong Kong,Colombo (SSC),2004/07/18,Pakistan,0,1,100-149,,,,,,,,,,
Shoaib Malik,143,143,197,1,0,127,18,1,112.59,1,v India,Colombo (RPS),2004/07/25,Pakistan,0,1,100-149,,,,,,,,,,
Mohammad Yousuf,141*,141,188,1,1,147,13,3,95.91,1,v Zimbabwe,Bulawayo,2002/11/23,Pakistan,0,1,100-149,,,,,,,,,,
Salman Butt,136,136,162,1,0,124,14,1,109.67,1,v Bangladesh,Karachi,2008/04/19,Pakistan,0,1,100-149,,,,,,,,,,
Saleem Elahi,135,135,191,1,0,129,19,0,104.65,1,v South Africa,Port Elizabeth,2002/12/11,Pakistan,0,1,100-149,,,,,,,,,,
Salman Butt,132,132,225,1,0,127,15,0,103.93,1,v Bangladesh,Lahore,2008/04/13,Pakistan,0,1,100-149,,,,,,,,,,
Salman Butt,129*,129,200,1,1,136,12,3,94.85,1,v India,Dhaka,2008/06/14,Pakistan,0,1,100-149,,,,,,,,,,
Mohammad Yousuf,129,129,178,1,0,131,8,3,98.47,1,v Sri Lanka,Sharjah,2002/04/17,Pakistan,0,1,100-149,,,,,,,,,,
Salman Butt,129,129,210,1,0,142,17,0,90.84,2,v India,Kanpur,2007/11/11,Pakistan,0,1,100-149,,,,,,,,,,
Shoaib Malik,128,128,173,1,0,126,16,0,101.58,1,v India,Centurion,2009/09/26,Pakistan,0,1,100-149,,,,,,,,,,
Yasir Hameed,127*,127,-,1,1,154,9,1,82.46,1,v New Zealand,Rawalpindi,2003/12/07,Pakistan,0,1,100-149,,,,,,,,,,
Shoaib Malik,125*,125,185,1,1,119,16,1,105.04,1,v India,Karachi,2008/06/26,Pakistan,0,1,100-149,,,,,,,,,,
Mohammad Yousuf,125,125,215,1,0,155,14,1,80.64,1,v New Zealand,Karachi,2002/04/21,Pakistan,0,1,100-149,,,,,,,,,,
Kamran Akmal,124,124,-,1,0,125,12,0,99.20,2,v West Indies,Brisbane,2005/01/19,Pakistan,0,1,100-149,,,,,,,,,,
Shahid Afridi,124,124,75,1,0,60,17,4,206.66,1,v Bangladesh,Dambulla,2010/06/21,Pakistan,0,1,100-149,,,,,,,,,,
Younis Khan,123*,123,169,1,1,117,11,1,105.12,2,v India,Karachi,2008/07/02,Pakistan,0,1,100-149,,,,,,,,,,
Inzamam-ul-Haq,123,123,160,1,0,121,9,4,101.65,1,v India,Lahore,2004/03/21,Pakistan,0,1,100-149,,,,,,,,,,
Inzamam-ul-Haq,122,122,154,1,0,102,12,2,119.60,2,v India,Karachi,2004/03/13,Pakistan,0,1,100-149,,,,,,,,,,
Inzamam-ul-Haq,118*,118,126,1,1,124,10,2,95.16,2,v Sri Lanka,Sharjah,2001/11/02,Pakistan,0,1,100-149,,,,,,,,,,
Shoaib Malik,118,118,153,1,0,110,10,2,107.27,1,v Hong Kong,Colombo (SSC),2004/07/18,Pakistan,0,1,100-149,,,,,,,,,,
Mohammad Yousuf,117,117,190,1,0,143,9,0,81.81,1,v South Africa,Lahore,2007/10/20,Pakistan,0,1,100-149,,,,,,,,,,
Younis Khan,117,117,189,1,0,110,9,2,106.36,2,v India,Mohali,2007/11/08,Pakistan,0,1,100-149,,,,,,,,,,
Kamran Akmal,116*,116,-,1,1,115,13,0,100.86,2,v Australia,Abu Dhabi,2009/05/03,Pakistan,0,1,100-149,,,,,,,,,,
Yasir Hameed,116,116,159,1,0,132,14,2,87.87,1,v Bangladesh,Multan,2003/09/09,Pakistan,0,1,100-149,,,,,,,,,,
Shoaib Malik,115,115,197,1,0,142,12,0,80.98,1,v New Zealand,Lahore,2002/04/27,Pakistan,0,1,100-149,,,,,,,,,,
Naved Latif,113,113,130,1,0,141,9,1,80.14,2,v Sri Lanka,Sharjah,2001/11/02,Pakistan,0,1,100-149,,,,,,,,,,
