Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
SPD Smith,79*,79,88,1,1,79,8,0,100.00,2,v West Indies,Melbourne,2024/02/02,Australia,1,0,50-99,,,,,,,,,,
C Green,77*,77,135,1,1,104,4,2,74.03,2,v West Indies,Melbourne,2024/02/02,Australia,1,0,50-99,,,,,,,,,,
SA Abbott,69,69,74,1,0,63,1,4,109.52,1,v West Indies,Sydney,2024/02/04,Australia,1,0,50-99,,,,,,,,,,
JP Inglis,65,65,49,1,0,43,10,1,151.16,2,v West Indies,Melbourne,2024/02/02,Australia,1,0,50-99,,,,,,,,,,
MW Short,41,41,64,1,0,55,2,1,74.54,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
J Fraser-McGurk,41,41,21,1,0,18,5,3,227.77,2,v West Indies,Canberra,2024/02/06,Australia,0,0,0-49,,,,,,,,,,
JP Inglis,35*,35,32,1,1,16,4,1,218.75,2,v West Indies,Canberra,2024/02/06,Australia,0,0,0-49,,,,,,,,,,
C Green,33,33,69,1,0,41,5,1,80.48,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
M Labuschagne,26,26,40,1,0,33,3,1,78.78,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
AM Hardie,26,26,41,1,0,36,3,0,72.22,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
W Sutherland,18,18,40,1,0,33,0,0,54.54,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
J Fraser-McGurk,10,10,3,1,0,5,1,1,200.00,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
JP Inglis,9,9,14,1,0,11,1,0,81.81,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
A Zampa,8*,8,21,1,1,11,0,0,72.72,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
SPD Smith,6*,6,2,1,1,3,1,0,200.00,2,v West Indies,Canberra,2024/02/06,Australia,0,0,0-49,,,,,,,,,,
SPD Smith,5,5,19,1,0,10,1,0,50.00,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
JR Hazlewood,4*,4,6,1,1,4,0,0,100.00,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
TM Head,4,4,3,1,0,5,1,0,80.00,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,0-49,,,,,,,,,,
AM Hardie,2,2,7,1,0,5,0,0,40.00,2,v West Indies,Canberra,2024/02/06,Australia,0,0,0-49,,,,,,,,,,
SA Abbott,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
AM Hardie,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
XC Bartlett,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
LR Morris,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
A Zampa,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
M Labuschagne,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
MW Short,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
A Zampa,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
C Green,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
M Labuschagne,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
SA Abbott,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
LR Morris,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
W Sutherland,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
XC Bartlett,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
KU Carty,88,88,162,1,0,108,6,2,81.48,1,v Australia,Melbourne,2024/02/02,West Indies,1,0,50-99,,,,,,,,,,
RL Chase,59,59,80,1,0,67,7,0,88.05,1,v Australia,Melbourne,2024/02/02,West Indies,1,0,50-99,,,,,,,,,,
KU Carty,40,40,75,1,0,51,2,1,78.43,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
A Athanaze,32,32,92,1,0,60,2,0,53.33,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
SD Hope,29,29,69,1,0,65,0,1,44.61,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
RL Chase,25,25,80,1,0,41,2,0,60.97,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
HR Walsh,20,20,59,1,0,35,0,0,57.14,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
MW Forde,19,19,21,1,0,21,1,1,90.47,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
AS Joseph,19,19,16,1,0,15,2,1,126.66,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
SD Hope,12,12,23,1,0,17,1,0,70.58,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
RL Chase,12,12,47,1,0,26,0,0,46.15,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
KAR Hodge,11,11,23,1,0,18,1,0,61.11,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
A Athanaze,11,11,15,1,0,14,2,0,78.57,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
KU Carty,10,10,33,1,0,22,0,0,45.45,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
JP Greaves,8,8,20,1,0,10,1,0,80.00,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
KY Ottley,8,8,23,1,0,14,1,0,57.14,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
KY Ottley,8,8,12,1,0,7,2,0,114.28,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
G Motie,7*,7,25,1,1,21,1,0,33.33,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
MW Forde,7,7,7,1,0,9,1,0,77.77,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
O Thomas,7,7,10,1,0,9,1,0,77.77,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
R Shepherd,6,6,15,1,0,13,0,0,46.15,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
AS Joseph,6,6,18,1,0,9,0,0,66.66,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
A Athanaze,5,5,18,1,0,11,1,0,45.45,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
SD Hope,4,4,5,1,0,5,1,0,80.00,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
G Motie,3,3,4,1,0,5,0,0,60.00,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
O Thomas,2*,2,6,1,1,5,0,0,40.00,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
JP Greaves,1,1,6,1,0,5,0,0,20.00,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
R Shepherd,1,1,2,1,0,2,0,0,50.00,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
O Thomas,0*,0,2,1,1,2,0,0,0.00,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
