Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
DL Hemp,102*,102,281,1,1,152,9,0,67.10,1,v Kenya,Potchefstroom,2009/04/06,Bermuda,0,1,100-149,,,,,,,,,,
IH Romaine,101,101,147,1,0,111,13,5,90.99,1,v Canada,Toronto,2006/08/21,Bermuda,0,1,100-149,,,,,,,,,,
IH Romaine,85*,85,100,1,1,86,6,3,98.83,2,v Scotland,Nairobi (Ruaraka),2007/02/05,Bermuda,1,0,50-99,,,,,,,,,,
DL Hemp,81,81,170,1,0,101,9,0,80.19,2,v Netherlands,Potchefstroom,2009/04/08,Bermuda,1,0,50-99,,,,,,,,,,
DL Hemp,76*,76,156,1,1,105,9,1,72.38,2,v India,Port of Spain,2007/03/19,Bermuda,1,0,50-99,,,,,,,,,,
J Edness,72,72,-,1,0,122,8,0,59.01,1,v Kenya,Nairobi (Gym),2007/10/28,Bermuda,1,0,50-99,,,,,,,,,,
CRM Douglas,69,69,-,1,0,113,8,1,61.06,2,v Canada,King City (NW),2008/08/18,Bermuda,1,0,50-99,,,,,,,,,,
DA Minors,68,68,141,1,0,91,10,1,74.72,2,v Kenya,Mombasa,2006/11/14,Bermuda,1,0,50-99,,,,,,,,,,
IH Romaine,62,62,121,1,0,96,5,0,64.58,2,v Zimbabwe,Port of Spain,2006/05/18,Bermuda,1,0,50-99,,,,,,,,,,
IH Romaine,61*,61,-,1,1,131,5,0,46.56,1,v Kenya,Nairobi (Gym),2007/10/27,Bermuda,1,0,50-99,,,,,,,,,,
CR Foggo,60,60,128,1,0,86,3,1,69.76,2,v Canada,King City (NW),2008/06/28,Bermuda,1,0,50-99,,,,,,,,,,
IH Romaine,60,60,-,1,0,94,4,2,63.82,2,v Canada,King City (NW),2008/07/01,Bermuda,1,0,50-99,,,,,,,,,,
DL Hemp,58,58,117,1,0,98,8,1,59.18,1,v Netherlands,Nairobi (Ruaraka),2007/02/04,Bermuda,1,0,50-99,,,,,,,,,,
S Mukuddem,57,57,102,1,0,104,4,0,54.80,1,v Canada,Benoni,2006/11/30,Bermuda,1,0,50-99,,,,,,,,,,
SD Outerbridge,56,56,-,1,0,104,6,0,53.84,2,v Canada,King City (NW),2008/07/01,Bermuda,1,0,50-99,,,,,,,,,,
DL Hemp,55,55,85,1,0,70,5,0,78.57,1,v Canada,Potchefstroom,2006/11/27,Bermuda,1,0,50-99,,,,,,,,,,
