Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
RD Shah,113,113,167,1,0,121,8,3,93.38,1,v Scotland,Mombasa,2007/01/21,Kenya,0,1,100-149,,,,,,,,,,
TM Odoyo,111*,111,-,1,1,113,11,0,98.23,2,v Canada,Nairobi (Gym),2007/10/18,Kenya,0,1,100-149,,,,,,,,,,
SO Tikolo,111,111,121,1,0,98,9,1,113.26,1,v Bermuda,Mombasa,2006/11/14,Kenya,0,1,100-149,,,,,,,,,,
SO Tikolo,102,102,-,1,0,99,12,2,103.03,1,v Zimbabwe,Nairobi (Gym),2008/10/19,Kenya,0,1,100-149,,,,,,,,,,
SO Tikolo,98,98,97,1,0,83,15,0,118.07,1,v Zimbabwe,Bulawayo,2006/02/26,Kenya,1,0,50-99,,,,,,,,,,
AA Obanda,96*,96,-,1,1,93,7,5,103.22,2,v Zimbabwe,Nairobi (Gym),2009/02/01,Kenya,1,0,50-99,,,,,,,,,,
SO Tikolo,93,93,122,1,0,91,9,0,102.19,2,v West Indies,Colombo (SSC),2002/09/17,Kenya,1,0,50-99,,,,,,,,,,
DO Obuya,93,93,-,1,0,116,3,3,80.17,2,v Scotland,Nairobi (Gym),2007/02/07,Kenya,1,0,50-99,,,,,,,,,,
RR Patel,92,92,-,1,0,98,9,2,93.87,2,v Netherlands,Nairobi (Gym),2010/02/16,Kenya,1,0,50-99,,,,,,,,,,
SO Tikolo,89*,89,-,1,1,81,7,1,109.87,2,v Bermuda,Nairobi (Gym),2007/10/28,Kenya,1,0,50-99,,,,,,,,,,
CO Obuya,86*,86,-,1,1,96,9,1,89.58,2,v Afghanistan,Nairobi (Gym),2010/10/11,Kenya,1,0,50-99,,,,,,,,,,
AA Obanda,85,85,-,1,0,103,15,0,82.52,2,v Canada,Nairobi (Gym),2007/10/20,Kenya,1,0,50-99,,,,,,,,,,
TM Odoyo,84,84,-,1,0,97,7,4,86.59,1,v Bangladesh,Nairobi (Gym),2006/08/13,Kenya,1,0,50-99,,,,,,,,,,
SO Tikolo,81,81,109,1,0,87,9,1,93.10,1,v Bangladesh,Fatullah,2006/03/25,Kenya,1,0,50-99,,,,,,,,,,
AA Obanda,79*,79,-,1,1,82,9,1,96.34,2,v Bermuda,Nairobi (Gym),2007/10/25,Kenya,1,0,50-99,,,,,,,,,,
KO Otieno,79,79,165,1,0,134,6,2,58.95,1,v India,Cape Town,2003/03/07,Kenya,1,0,50-99,,,,,,,,,,
CO Obuya,78*,78,-,1,1,69,5,3,113.04,2,v Ireland,Dublin,2009/07/12,Kenya,1,0,50-99,,,,,,,,,,
KO Otieno,78,78,150,1,0,115,7,2,67.82,1,v Ireland,Dublin,2009/07/09,Kenya,1,0,50-99,,,,,,,,,,
AA Obanda,77,77,-,1,0,116,6,2,66.37,2,v Afghanistan,Nairobi (Gym),2010/10/11,Kenya,1,0,50-99,,,,,,,,,,
SO Tikolo,76,76,131,1,0,97,8,0,78.35,1,v England,Gros Islet,2007/03/24,Kenya,1,0,50-99,,,,,,,,,,
CO Obuya,75,75,-,1,0,108,4,4,69.44,1,v Zimbabwe,Nairobi (Gym),2009/02/04,Kenya,1,0,50-99,,,,,,,,,,
DO Obuya,74*,74,83,1,1,59,12,1,125.42,2,v Bermuda,Nairobi (Jaff),2007/01/29,Kenya,1,0,50-99,,,,,,,,,,
KO Otieno,74,74,134,1,0,112,10,0,66.07,1,v Zimbabwe,Bulawayo,2006/02/25,Kenya,1,0,50-99,,,,,,,,,,
SR Waters,74,74,121,1,0,116,9,1,63.79,1,v South Africa,Kimberley,2008/11/02,Kenya,1,0,50-99,,,,,,,,,,
JK Kamande,74,74,-,1,0,86,6,2,86.04,2,v Zimbabwe,Mombasa,2009/01/27,Kenya,1,0,50-99,,,,,,,,,,
DO Obuya,73,73,113,1,0,74,10,2,98.64,1,v Scotland,Mombasa,2007/01/17,Kenya,1,0,50-99,,,,,,,,,,
SO Tikolo,72*,72,118,1,1,76,7,1,94.73,2,v Canada,Gros Islet,2007/03/14,Kenya,1,0,50-99,,,,,,,,,,
SO Tikolo,71,71,-,1,0,65,5,3,109.23,1,v West Indies,Nairobi (Gym),2001/08/19,Kenya,1,0,50-99,,,,,,,,,,
RD Shah,71,71,138,1,0,89,8,2,79.77,2,v New Zealand,Gros Islet,2007/03/20,Kenya,1,0,50-99,,,,,,,,,,
