Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
AJ Strauss,154,154,201,1,0,140,16,5,110.00,1,v Bangladesh,Birmingham,2010/07/12,England,0,1,150-199,,,,,,,,,,
AJ Strauss,152,152,207,1,0,128,19,0,118.75,1,v Bangladesh,Nottingham,2005/06/21,England,0,1,150-199,,,,,,,,,,
ME Trescothick,137,137,232,1,0,142,11,3,96.47,2,v Pakistan,"Lord's",2001/06/12,England,0,1,100-149,,,,,,,,,,
ME Trescothick,130,130,201,1,0,138,13,2,94.20,1,v West Indies,Gros Islet,2004/05/01,England,0,1,100-149,,,,,,,,,,
IR Bell,126*,126,161,1,1,118,10,1,106.77,1,v India,Southampton,2007/08/21,England,0,1,100-149,,,,,,,,,,
AJ Strauss,126,126,184,1,0,134,10,1,94.02,2,v Pakistan,Leeds,2010/09/12,England,0,1,100-149,,,,,,,,,,
A Flintoff,123,123,129,1,0,104,8,7,118.26,1,v West Indies,"Lord's",2004/07/06,England,0,1,100-149,,,,,,,,,,
ME Trescothick,121,121,180,1,0,109,13,2,111.00,2,v India,Kolkata,2002/01/19,England,0,1,100-149,,,,,,,,,,
ME Trescothick,121,121,176,1,0,118,16,1,102.54,1,v Sri Lanka,Leeds,2006/07/01,England,0,1,100-149,,,,,,,,,,
PD Collingwood,120*,120,222,1,1,133,7,1,90.22,2,v Australia,Melbourne,2007/02/09,England,0,1,100-149,,,,,,,,,,
ME Trescothick,119,119,175,1,0,102,11,2,116.66,1,v Zimbabwe,Colombo (RPS),2002/09/18,England,0,1,100-149,,,,,,,,,,
KP Pietersen,116,116,153,1,0,110,10,6,105.45,1,v South Africa,Centurion,2005/02/13,England,0,1,100-149,,,,,,,,,,
N Hussain,115,115,158,1,0,128,10,0,89.84,1,v India,"Lord's",2002/07/13,England,0,1,100-149,,,,,,,,,,
ME Trescothick,114*,114,200,1,1,125,13,0,91.20,2,v South Africa,The Oval,2003/06/28,England,0,1,100-149,,,,,,,,,,
ME Trescothick,113,113,172,1,0,114,12,0,99.12,1,v Ireland,Belfast,2006/06/13,England,0,1,100-149,,,,,,,,,,
PD Collingwood,112*,112,96,1,1,86,10,5,130.23,1,v Bangladesh,Nottingham,2005/06/21,England,0,1,100-149,,,,,,,,,,
NV Knight,111*,111,209,1,1,133,6,1,83.45,1,v Australia,Sydney,2002/12/13,England,0,1,100-149,,,,,,,,,,
KP Pietersen,111*,111,185,1,1,128,10,1,86.71,1,v India,Cuttack,2008/11/26,England,0,1,100-149,,,,,,,,,,
KP Pietersen,110*,110,161,1,1,112,8,3,98.21,1,v New Zealand,Chester-le-Street,2008/06/15,England,0,1,100-149,,,,,,,,,,
EJG Morgan,110*,110,141,1,1,104,8,2,105.76,2,v Bangladesh,Dhaka,2010/03/02,England,0,1,100-149,,,,,,,,,,
IJL Trott,110,110,169,1,0,121,12,0,90.90,1,v Bangladesh,Birmingham,2010/07/12,England,0,1,100-149,,,,,,,,,,
ME Trescothick,109,109,148,1,0,100,7,2,109.00,1,v India,"Lord's",2002/07/13,England,0,1,100-149,,,,,,,,,,
ME Trescothick,108*,108,227,1,1,145,9,1,74.48,2,v Pakistan,"Lord's",2003/06/22,England,0,1,100-149,,,,,,,,,,
KP Pietersen,108*,108,142,1,1,96,6,2,112.50,1,v South Africa,Bloemfontein,2005/02/02,England,0,1,100-149,,,,,,,,,,
OA Shah,107*,107,125,1,1,95,11,2,112.63,1,v India,The Oval,2007/09/05,England,0,1,100-149,,,,,,,,,,
EJG Morgan,107*,107,147,1,1,101,8,1,105.94,1,v Pakistan,Southampton,2010/09/22,England,0,1,100-149,,,,,,,,,,
EC Joyce,107,107,201,1,0,142,10,0,75.35,1,v Australia,Sydney,2007/02/02,England,0,1,100-149,,,,,,,,,,
C Kieswetter,107,107,172,1,0,123,9,3,86.99,1,v Bangladesh,Chattogram,2010/03/05,England,0,1,100-149,,,,,,,,,,
VS Solanki,106,106,136,1,0,108,17,0,98.14,2,v South Africa,The Oval,2003/06/28,England,0,1,100-149,,,,,,,,,,
A Flintoff,106,106,127,1,0,121,11,2,87.60,1,v New Zealand,Bristol,2004/07/04,England,0,1,100-149,,,,,,,,,,
PD Collingwood,106,106,164,1,0,121,8,0,87.60,1,v New Zealand,Brisbane,2007/02/06,England,0,1,100-149,,,,,,,,,,
PD Collingwood,105*,105,143,1,1,110,7,2,95.45,2,v South Africa,Centurion,2009/11/22,England,0,1,100-149,,,,,,,,,,
NV Knight,105,105,177,1,0,131,7,0,80.15,1,v India,Delhi,2002/01/31,England,0,1,100-149,,,,,,,,,,
AJ Strauss,105,105,204,1,0,129,7,0,81.39,2,v West Indies,Providence,2009/03/22,England,0,1,100-149,,,,,,,,,,
ME Trescothick,104*,104,197,1,1,134,8,1,77.61,2,v Australia,Leeds,2005/07/07,England,0,1,100-149,,,,,,,,,,
A Flintoff,104,104,120,1,0,91,9,3,114.28,1,v Sri Lanka,Southampton,2004/09/17,England,0,1,100-149,,,,,,,,,,
ME Trescothick,104,104,214,1,0,124,14,0,83.87,1,v West Indies,The Oval,2004/09/25,England,0,1,100-149,,,,,,,,,,
KP Pietersen,104,104,182,1,0,122,6,1,85.24,1,v Australia,North Sound,2007/04/08,England,0,1,100-149,,,,,,,,,,
EJG Morgan,103*,103,125,1,1,85,16,0,121.17,2,v Australia,Southampton,2010/06/22,England,0,1,100-149,,,,,,,,,,
AN Cook,102,102,168,1,0,126,8,0,80.95,1,v India,Southampton,2007/08/21,England,0,1,100-149,,,,,,,,,,
KP Pietersen,100*,100,104,1,1,69,7,4,144.92,2,v South Africa,East London,2005/02/09,England,0,1,100-149,,,,,,,,,,
ME Trescothick,100*,100,103,1,1,76,16,0,131.57,2,v Bangladesh,The Oval,2005/06/16,England,0,1,100-149,,,,,,,,,,
PD Collingwood,100,100,172,1,0,124,4,2,80.64,1,v Sri Lanka,Perth,2002/12/20,England,0,1,100-149,,,,,,,,,,
AJ Strauss,100,100,183,1,0,116,8,2,86.20,1,v West Indies,"Lord's",2004/07/06,England,0,1,100-149,,,,,,,,,,
VS Solanki,100,100,120,1,0,93,14,2,107.52,2,v Zimbabwe,Bulawayo,2004/12/04,England,0,1,100-149,,,,,,,,,,
KP Pietersen,100,100,144,1,0,91,10,1,109.89,2,v West Indies,Bridgetown,2007/04/21,England,0,1,100-149,,,,,,,,,,
A Flintoff,99,99,113,1,0,93,9,4,106.45,1,v India,The Oval,2004/09/03,England,1,0,50-99,,,,,,,,,,
AJ Strauss,98,98,149,1,0,104,7,1,94.23,2,v Bangladesh,Leeds,2005/06/26,England,1,0,50-99,,,,,,,,,,
OA Shah,98,98,108,1,0,89,5,6,110.11,1,v South Africa,Centurion,2009/09/27,England,1,0,50-99,,,,,,,,,,
ME Trescothick,95,95,127,1,0,80,9,1,118.75,1,v India,Mumbai,2002/02/03,England,1,0,50-99,,,,,,,,,,
