Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
JJ Roy,180,180,151,1,0,151,16,5,119.20,2,v Australia,Melbourne,2018/01/14,England,0,1,150-199,,,,,,,,,,
AD Hales,171,171,166,1,0,122,22,4,140.16,1,v Pakistan,Nottingham,2016/08/30,England,0,1,150-199,,,,,,,,,,
JJ Roy,162,162,172,1,0,118,13,3,137.28,2,v Sri Lanka,The Oval,2016/06/29,England,0,1,150-199,,,,,,,,,,
AJ Strauss,158,158,188,1,0,145,18,1,108.96,2,v India,Bengaluru,2011/02/27,England,0,1,150-199,,,,,,,,,,
JJ Roy,153,153,153,1,0,121,14,5,126.44,1,v Bangladesh,Cardiff,2019/06/08,England,0,1,150-199,,,,,,,,,,
JC Buttler,150,150,-,1,0,77,13,12,194.80,1,v West Indies,"St George's",2019/02/27,England,0,1,150-199,,,,,,,,,,
EJG Morgan,148,148,77,1,0,71,4,17,208.45,1,v Afghanistan,Manchester,2019/06/18,England,0,1,100-149,,,,,,,,,,
AD Hales,147,147,-,1,0,92,16,5,159.78,1,v Australia,Nottingham,2018/06/19,England,0,1,100-149,,,,,,,,,,
JM Bairstow,141*,141,-,1,1,114,17,0,123.68,2,v West Indies,Southampton,2017/09/29,England,0,1,100-149,,,,,,,,,,
IR Bell,141,141,175,1,0,125,15,1,112.80,1,v Australia,Hobart,2015/01/23,England,0,1,100-149,,,,,,,,,,
JM Bairstow,139,139,-,1,0,92,15,5,151.08,1,v Australia,Nottingham,2018/06/19,England,0,1,100-149,,,,,,,,,,
JM Bairstow,138,138,160,1,0,106,14,7,130.18,1,v New Zealand,Dunedin,2018/03/07,England,0,1,100-149,,,,,,,,,,
