Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
CH Gayle,215,215,212,1,0,147,10,16,146.25,1,v Zimbabwe,Canberra,2015/02/24,West Indies,0,1,200+,,,,,,,,,,
JD Campbell,179,179,-,1,0,137,15,6,130.65,1,v Ireland,Dublin,2019/05/05,West Indies,0,1,150-199,,,,,,,,,,
E Lewis,176*,176,-,1,1,130,17,7,135.38,1,v England,The Oval,2017/09/27,West Indies,0,1,150-199,,,,,,,,,,
SD Hope,170,170,-,1,0,152,22,2,111.84,1,v Ireland,Dublin,2019/05/05,West Indies,0,1,150-199,,,,,,,,,,
D Ramdin,169,169,187,1,0,121,8,11,139.66,1,v Bangladesh,Basseterre,2014/08/25,West Indies,0,1,150-199,,,,,,,,,,
CH Gayle,162,162,-,1,0,97,11,14,167.01,2,v England,"St George's",2019/02/27,West Indies,0,1,150-199,,,,,,,,,,
E Lewis,148,148,196,1,0,122,15,4,121.31,2,v Sri Lanka,Bulawayo,2016/11/23,West Indies,0,1,100-149,,,,,,,,,,
SW Ambris,148,148,163,1,0,126,19,1,117.46,2,v Ireland,Dublin (Malahide),2019/05/11,West Indies,0,1,100-149,,,,,,,,,,
SD Hope,146*,146,-,1,1,144,12,3,101.38,2,v Bangladesh,Dhaka,2018/12/11,West Indies,0,1,100-149,,,,,,,,,,
SO Hetmyer,139,139,-,1,0,106,11,7,131.13,2,v India,Chennai,2019/12/15,West Indies,0,1,100-149,,,,,,,,,,
CH Gayle,135,135,216,1,0,129,3,12,104.65,1,v England,Bridgetown,2019/02/20,West Indies,0,1,100-149,,,,,,,,,,
MN Samuels,133*,133,209,1,1,156,11,3,85.25,1,v Zimbabwe,Canberra,2015/02/24,West Indies,0,1,100-149,,,,,,,,,,
J Charles,130,130,152,1,0,111,12,4,117.11,1,v Zimbabwe,"St George's",2013/02/22,West Indies,0,1,100-149,,,,,,,,,,
D Ramdin,128,128,167,1,0,109,12,5,117.43,2,v England,North Sound,2014/03/05,West Indies,0,1,100-149,,,,,,,,,,
SO Hetmyer,127,127,128,1,0,93,14,4,136.55,1,v U.A.E.,Harare,2018/03/06,West Indies,0,1,100-149,,,,,,,,,,
MN Samuels,126*,126,145,1,1,116,11,4,108.62,1,v India,Kochi,2014/10/08,West Indies,0,1,100-149,,,,,,,,,,
