Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
BA Stokes,182,182,185,1,0,124,15,9,146.77,1,v New Zealand,The Oval,2023/09/13,England,0,1,150-199,,,,,,,,,,
DJ Malan,140,140,106,1,0,107,16,5,130.84,1,v Bangladesh,Dharamsala,2023/10/10,England,0,1,100-149,,,,,,,,,,
JJ Roy,132,132,160,1,0,124,18,1,106.45,1,v Bangladesh,Mirpur,2023/03/03,England,0,1,100-149,,,,,,,,,,
JC Buttler,131,131,190,1,0,127,6,7,103.14,1,v South Africa,Kimberley,2023/02/01,England,0,1,100-149,,,,,,,,,,
DJ Malan,127,127,177,1,0,114,14,3,111.40,1,v New Zealand,"Lord's",2023/09/15,England,0,1,100-149,,,,,,,,,,
DJ Malan,118,118,189,1,0,114,7,6,103.50,1,v South Africa,Kimberley,2023/02/01,England,0,1,100-149,,,,,,,,,,
DJ Malan,114*,114,218,1,1,145,8,4,78.62,2,v Bangladesh,Mirpur,2023/03/01,England,0,1,100-149,,,,,,,,,,
JJ Roy,113,113,140,1,0,91,11,4,124.17,2,v South Africa,Bloemfontein,2023/01/27,England,0,1,100-149,,,,,,,,,,
BA Stokes,108,108,136,1,0,84,6,6,128.57,1,v Netherlands,Pune,2023/11/08,England,0,1,100-149,,,,,,,,,,
BM Duckett,107*,107,-,1,1,78,12,2,137.17,1,v Ireland,Bristol,2023/09/26,England,0,1,100-149,,,,,,,,,,
DJ Malan,96,96,130,1,0,95,12,1,101.05,1,v New Zealand,The Oval,2023/09/13,England,1,0,50-99,,,,,,,,,,
LS Livingstone,95*,95,98,1,1,78,9,1,121.79,1,v New Zealand,Southampton,2023/09/10,England,1,0,50-99,,,,,,,,,,
JC Buttler,94*,94,154,1,1,81,8,3,116.04,1,v South Africa,Bloemfontein,2023/01/29,England,1,0,50-99,,,,,,,,,,
WG Jacks,94,94,137,1,0,88,7,4,106.81,1,v Ireland,Nottingham,2023/09/23,England,1,0,50-99,,,,,,,,,,
SR Hain,89,89,110,1,0,82,8,0,108.53,1,v Ireland,Nottingham,2023/09/23,England,1,0,50-99,,,,,,,,,,
DJ Malan,87,87,92,1,0,74,10,2,117.56,1,v Netherlands,Pune,2023/11/08,England,1,0,50-99,,,,,,,,,,
BA Stokes,84,84,85,1,0,76,11,2,110.52,1,v Pakistan,Eden Gardens,2023/11/11,England,1,0,50-99,,,,,,,,,,
JE Root,82,82,107,1,0,68,8,1,120.58,1,v Bangladesh,Dharamsala,2023/10/10,England,1,0,50-99,,,,,,,,,,
HC Brook,80,80,101,1,0,75,7,4,106.66,1,v South Africa,Bloemfontein,2023/01/29,England,1,0,50-99,,,,,,,,,,
JE Root,77,77,140,1,0,86,4,1,89.53,1,v New Zealand,Ahmedabad,2023/10/05,England,1,0,50-99,,,,,,,,,,
JC Buttler,76,76,103,1,0,64,5,2,118.75,1,v Bangladesh,Mirpur,2023/03/03,England,1,0,50-99,,,,,,,,,,
WG Jacks,73,73,82,1,0,72,6,4,101.38,2,v West Indies,North Sound,2023/12/06,England,1,0,50-99,,,,,,,,,,
JC Buttler,72,72,112,1,0,68,5,2,105.88,1,v New Zealand,Cardiff,2023/09/08,England,1,0,50-99,,,,,,,,,,
HC Brook,71,71,102,1,0,72,7,2,98.61,1,v West Indies,North Sound,2023/12/03,England,1,0,50-99,,,,,,,,,,
BM Duckett,71,71,94,1,0,73,6,1,97.26,1,v West Indies,Bridgetown,2023/12/09,England,1,0,50-99,,,,,,,,,,
HC Brook,66,66,123,1,0,61,7,1,108.19,2,v Afghanistan,Delhi,2023/10/15,England,1,0,50-99,,,,,,,,,,
BA Stokes,64,64,128,1,0,90,2,3,71.11,2,v Australia,Ahmedabad,2023/11/04,England,1,0,50-99,,,,,,,,,,
PD Salt,61,61,-,1,0,28,7,4,217.85,1,v Ireland,Bristol,2023/09/26,England,1,0,50-99,,,,,,,,,,
JE Root,60,60,115,1,0,72,4,0,83.33,1,v Pakistan,Eden Gardens,2023/11/11,England,1,0,50-99,,,,,,,,,,
DJ Malan,59,59,88,1,0,55,9,0,107.27,2,v South Africa,Bloemfontein,2023/01/27,England,1,0,50-99,,,,,,,,,,
JM Bairstow,59,59,81,1,0,61,7,1,96.72,1,v Pakistan,Eden Gardens,2023/11/11,England,1,0,50-99,,,,,,,,,,
JC Buttler,58*,58,52,1,1,45,4,3,128.88,2,v West Indies,North Sound,2023/12/06,England,1,0,50-99,,,,,,,,,,
DJ Malan,54,54,64,1,0,53,9,0,101.88,1,v New Zealand,Cardiff,2023/09/08,England,1,0,50-99,,,,,,,,,,
BA Stokes,52,52,87,1,0,69,3,1,75.36,1,v New Zealand,Cardiff,2023/09/08,England,1,0,50-99,,,,,,,,,,
LS Livingstone,52,52,42,1,0,40,3,3,130.00,1,v New Zealand,Cardiff,2023/09/08,England,1,0,50-99,,,,,,,,,,
JM Bairstow,52,52,80,1,0,59,8,0,88.13,1,v Bangladesh,Dharamsala,2023/10/10,England,1,0,50-99,,,,,,,,,,
MM Ali,51,51,67,1,0,45,6,1,113.33,1,v South Africa,Bloemfontein,2023/01/29,England,1,0,50-99,,,,,,,,,,
Z Crawley,51,51,-,1,0,42,4,2,121.42,1,v Ireland,Bristol,2023/09/26,England,1,0,50-99,,,,,,,,,,
CR Woakes,51,51,66,1,0,45,5,1,113.33,1,v Netherlands,Pune,2023/11/08,England,1,0,50-99,,,,,,,,,,
DJ Malan,50,50,99,1,0,64,4,1,78.12,2,v Australia,Ahmedabad,2023/11/04,England,1,0,50-99,,,,,,,,,,
BM Duckett,48,48,69,1,0,49,6,1,97.95,1,v Ireland,Nottingham,2023/09/23,England,0,0,0-49,,,,,,,,,,
Z Crawley,48,48,85,1,0,63,5,0,76.19,1,v West Indies,North Sound,2023/12/03,England,0,0,0-49,,,,,,,,,,
PD Salt,45,45,38,1,0,28,5,3,160.71,1,v West Indies,North Sound,2023/12/03,England,0,0,0-49,,,,,,,,,,
LS Livingstone,45,45,73,1,0,56,2,2,80.35,1,v West Indies,Bridgetown,2023/12/09,England,0,0,0-49,,,,,,,,,,
MA Wood,43*,43,25,1,1,17,2,5,252.94,2,v South Africa,Wankhede,2023/10/21,England,0,0,0-49,,,,,,,,,,
HC Brook,43*,43,79,1,1,49,2,2,87.75,2,v West Indies,North Sound,2023/12/06,England,0,0,0-49,,,,,,,,,,
JC Buttler,43,43,48,1,0,42,2,2,102.38,1,v New Zealand,Ahmedabad,2023/10/05,England,0,0,0-49,,,,,,,,,,
BA Stokes,43,43,98,1,0,73,6,0,58.90,1,v Sri Lanka,Bengaluru,2023/10/26,England,0,0,0-49,,,,,,,,,,
MM Ali,42,42,45,1,0,35,3,2,120.00,1,v Bangladesh,Mirpur,2023/03/03,England,0,0,0-49,,,,,,,,,,
SM Curran,42,42,60,1,0,35,1,2,120.00,1,v New Zealand,Southampton,2023/09/10,England,0,0,0-49,,,,,,,,,,
MM Ali,42,42,61,1,0,43,6,0,97.67,2,v Australia,Ahmedabad,2023/11/04,England,0,0,0-49,,,,,,,,,,
MM Ali,41,41,28,1,0,23,2,4,178.26,1,v South Africa,Kimberley,2023/02/01,England,0,0,0-49,,,,,,,,,,
WG Jacks,39,39,-,1,0,21,3,3,185.71,1,v Ireland,Bristol,2023/09/26,England,0,0,0-49,,,,,,,,,,
JM Vince,38,38,76,1,0,44,3,1,86.36,2,v Bangladesh,Chattogram,2023/03/06,England,0,0,0-49,,,,,,,,,,
JC Buttler,38,38,32,1,0,24,6,1,158.33,1,v New Zealand,The Oval,2023/09/13,England,0,0,0-49,,,,,,,,,,
SM Curran,38,38,45,1,0,26,3,2,146.15,1,v West Indies,North Sound,2023/12/03,England,0,0,0-49,,,,,,,,,,
JC Buttler,36,36,78,1,0,42,4,0,85.71,2,v South Africa,Bloemfontein,2023/01/27,England,0,0,0-49,,,,,,,,,,
JC Buttler,36,36,36,1,0,31,3,1,116.12,1,v New Zealand,"Lord's",2023/09/15,England,0,0,0-49,,,,,,,,,,
PD Salt,35,35,40,1,0,25,7,0,140.00,2,v Bangladesh,Chattogram,2023/03/06,England,0,0,0-49,,,,,,,,,,
