Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
JM Bairstow,124,124,174,1,0,112,11,7,110.71,2,v India,Pune,2021/03/26,England,0,1,100-149,,,,,,,,,,
JM Vince,102,102,160,1,0,95,11,0,107.36,2,v Pakistan,Birmingham,2021/07/13,England,0,1,100-149,,,,,,,,,,
BA Stokes,99,99,90,1,0,52,4,10,190.38,2,v India,Pune,2021/03/26,England,1,0,50-99,,,,,,,,,,
SM Curran,95*,95,134,1,1,83,9,3,114.45,2,v India,Pune,2021/03/28,England,1,0,50-99,,,,,,,,,,
JM Bairstow,94,94,105,1,0,66,6,7,142.42,2,v India,Pune,2021/03/23,England,1,0,50-99,,,,,,,,,,
JE Root,79*,79,134,1,1,87,4,0,90.80,2,v Sri Lanka,Chester-le-Street,2021/06/29,England,1,0,50-99,,,,,,,,,,
L Gregory,77,77,86,1,0,69,6,3,111.59,2,v Pakistan,Birmingham,2021/07/13,England,1,0,50-99,,,,,,,,,,
EJG Morgan,75*,75,109,1,1,83,8,1,90.36,2,v Sri Lanka,The Oval,2021/07/01,England,1,0,50-99,,,,,,,,,,
JE Root,68*,68,131,1,1,87,5,0,78.16,2,v Sri Lanka,The Oval,2021/07/01,England,1,0,50-99,,,,,,,,,,
DJ Malan,68*,68,99,1,1,69,8,0,98.55,2,v Pakistan,Cardiff,2021/07/08,England,1,0,50-99,,,,,,,,,,
JJ Roy,60,60,80,1,0,52,10,0,115.38,2,v Sri Lanka,The Oval,2021/07/01,England,1,0,50-99,,,,,,,,,,
PD Salt,60,60,82,1,0,54,10,0,111.11,1,v Pakistan,"Lord's",2021/07/10,England,1,0,50-99,,,,,,,,,,
Z Crawley,58*,58,78,1,1,50,7,0,116.00,2,v Pakistan,Cardiff,2021/07/08,England,1,0,50-99,,,,,,,,,,
JM Vince,56,56,70,1,0,52,8,0,107.69,1,v Pakistan,"Lord's",2021/07/10,England,1,0,50-99,,,,,,,,,,
JJ Roy,55,55,80,1,0,52,7,1,105.76,2,v India,Pune,2021/03/26,England,1,0,50-99,,,,,,,,,,
DJ Malan,50,50,114,1,0,50,6,0,100.00,2,v India,Pune,2021/03/28,England,1,0,50-99,,,,,,,,,,
JJ Roy,46,46,68,1,0,35,7,1,131.42,2,v India,Pune,2021/03/23,England,0,0,0-49,,,,,,,,,,
JM Bairstow,43,43,33,1,0,21,6,1,204.76,2,v Sri Lanka,Chester-le-Street,2021/06/29,England,0,0,0-49,,,,,,,,,,
L Gregory,40,40,67,1,0,47,4,0,85.10,1,v Pakistan,"Lord's",2021/07/10,England,0,0,0-49,,,,,,,,,,
Z Crawley,39,39,54,1,0,34,7,0,114.70,2,v Pakistan,Birmingham,2021/07/13,England,0,0,0-49,,,,,,,,,,
PD Salt,37,37,31,1,0,22,7,0,168.18,2,v Pakistan,Birmingham,2021/07/13,England,0,0,0-49,,,,,,,,,,
LS Livingstone,36,36,40,1,0,31,4,1,116.12,2,v India,Pune,2021/03/28,England,0,0,0-49,,,,,,,,,,
BA Stokes,35,35,53,1,0,39,4,1,89.74,2,v India,Pune,2021/03/28,England,0,0,0-49,,,,,,,,,,
BA Stokes,32,32,32,1,0,28,4,1,114.28,2,v Pakistan,Birmingham,2021/07/13,England,0,0,0-49,,,,,,,,,,
BA Carse,31,31,66,1,0,41,2,0,75.60,1,v Pakistan,"Lord's",2021/07/10,England,0,0,0-49,,,,,,,,,,
MM Ali,30,30,54,1,0,37,2,1,81.08,2,v India,Pune,2021/03/23,England,0,0,0-49,,,,,,,,,,
MM Ali,29,29,36,1,0,25,2,2,116.00,2,v India,Pune,2021/03/28,England,0,0,0-49,,,,,,,,,,
JM Bairstow,29,29,59,1,0,36,3,1,80.55,2,v Sri Lanka,The Oval,2021/07/01,England,0,0,0-49,,,,,,,,,,
MM Ali,28,28,84,1,0,57,1,0,49.12,2,v Sri Lanka,Chester-le-Street,2021/06/29,England,0,0,0-49,,,,,,,,,,
LS Livingstone,27*,27,33,1,1,21,1,2,128.57,2,v India,Pune,2021/03/26,England,0,0,0-49,,,,,,,,,,
EJG Morgan,22,22,36,1,0,30,1,1,73.33,2,v India,Pune,2021/03/23,England,0,0,0-49,,,,,,,,,,
BA Stokes,22,22,29,1,0,26,2,1,84.61,1,v Pakistan,"Lord's",2021/07/10,England,0,0,0-49,,,,,,,,,,
AU Rashid,19,19,41,1,0,22,2,0,86.36,2,v India,Pune,2021/03/28,England,0,0,0-49,,,,,,,,,,
C Overton,18*,18,23,1,1,15,1,0,120.00,2,v Pakistan,Birmingham,2021/07/13,England,0,0,0-49,,,,,,,,,,
SW Billings,18,18,35,1,0,22,1,0,81.81,2,v India,Pune,2021/03/23,England,0,0,0-49,,,,,,,,,,
JA Simpson,17,17,25,1,0,19,2,0,89.47,1,v Pakistan,"Lord's",2021/07/10,England,0,0,0-49,,,,,,,,,,
DJ Malan,16*,16,41,1,1,23,1,0,69.56,2,v India,Pune,2021/03/26,England,0,0,0-49,,,,,,,,,,
JC Buttler,15,15,28,1,0,18,2,0,83.33,2,v India,Pune,2021/03/28,England,0,0,0-49,,,,,,,,,,
JJ Roy,14,14,4,1,0,6,3,0,233.33,2,v India,Pune,2021/03/28,England,0,0,0-49,,,,,,,,,,
MA Wood,14,14,60,1,0,21,1,0,66.66,2,v India,Pune,2021/03/28,England,0,0,0-49,,,,,,,,,,
BA Carse,12*,12,15,1,1,11,1,0,109.09,2,v Pakistan,Birmingham,2021/07/13,England,0,0,0-49,,,,,,,,,,
SM Curran,12,12,24,1,0,20,1,0,60.00,2,v India,Pune,2021/03/23,England,0,0,0-49,,,,,,,,,,
TK Curran,11,11,21,1,0,16,1,0,68.75,2,v India,Pune,2021/03/23,England,0,0,0-49,,,,,,,,,,
SM Curran,9*,9,17,1,1,9,1,0,100.00,2,v Sri Lanka,Chester-le-Street,2021/06/29,England,0,0,0-49,,,,,,,,,,
LS Livingstone,9,9,26,1,0,12,0,1,75.00,2,v Sri Lanka,Chester-le-Street,2021/06/29,England,0,0,0-49,,,,,,,,,,
S Mahmood,8,8,23,1,0,16,1,0,50.00,1,v Pakistan,"Lord's",2021/07/10,England,0,0,0-49,,,,,,,,,,
MW Parkinson,7*,7,13,1,1,8,1,0,87.50,1,v Pakistan,"Lord's",2021/07/10,England,0,0,0-49,,,,,,,,,,
PD Salt,7,7,22,1,0,13,1,0,53.84,2,v Pakistan,Cardiff,2021/07/08,England,0,0,0-49,,,,,,,,,,
EJG Morgan,6,6,17,1,0,17,1,0,35.29,2,v Sri Lanka,Chester-le-Street,2021/06/29,England,0,0,0-49,,,,,,,,,,
SW Billings,3,3,10,1,0,8,0,0,37.50,2,v Sri Lanka,Chester-le-Street,2021/06/29,England,0,0,0-49,,,,,,,,,,
JA Simpson,3,3,19,1,0,12,0,0,25.00,2,v Pakistan,Birmingham,2021/07/13,England,0,0,0-49,,,,,,,,,,
MA Wood,2*,2,13,1,1,7,0,0,28.57,2,v India,Pune,2021/03/23,England,0,0,0-49,,,,,,,,,,
JC Buttler,2,2,14,1,0,4,0,0,50.00,2,v India,Pune,2021/03/23,England,0,0,0-49,,,,,,,,,,
RJW Topley,1*,1,5,1,1,1,0,0,100.00,2,v India,Pune,2021/03/28,England,0,0,0-49,,,,,,,,,,
BA Stokes,1,1,10,1,0,11,0,0,9.09,2,v India,Pune,2021/03/23,England,0,0,0-49,,,,,,,,,,
JM Bairstow,1,1,17,1,0,4,0,0,25.00,2,v India,Pune,2021/03/28,England,0,0,0-49,,,,,,,,,,
AU Rashid,0,0,5,1,0,5,0,0,0.00,2,v India,Pune,2021/03/23,England,0,0,0-49,,,,,,,,,,
JC Buttler,0,0,5,1,0,3,0,0,0.00,2,v India,Pune,2021/03/26,England,0,0,0-49,,,,,,,,,,
DJ Malan,0,0,10,1,0,6,0,0,0.00,1,v Pakistan,"Lord's",2021/07/10,England,0,0,0-49,,,,,,,,,,
Z Crawley,0,0,13,1,0,1,0,0,0.00,1,v Pakistan,"Lord's",2021/07/10,England,0,0,0-49,,,,,,,,,,
C Overton,0,0,4,1,0,3,0,0,0.00,1,v Pakistan,"Lord's",2021/07/10,England,0,0,0-49,,,,,,,,,,
DJ Malan,0,0,8,1,0,2,0,0,0.00,2,v Pakistan,Birmingham,2021/07/13,England,0,0,0-49,,,,,,,,,,
SM Curran,DNB,-,-,0,0,-,-,-,-,2,v India,Pune,2021/03/26,England,0,0,-,,,,,,,,,,
RJW Topley,DNB,-,-,0,0,-,-,-,-,2,v India,Pune,2021/03/26,England,0,0,-,,,,,,,,,,
AU Rashid,DNB,-,-,0,0,-,-,-,-,2,v India,Pune,2021/03/26,England,0,0,-,,,,,,,,,,
TK Curran,DNB,-,-,0,0,-,-,-,-,2,v India,Pune,2021/03/26,England,0,0,-,,,,,,,,,,
MM Ali,DNB,-,-,0,0,-,-,-,-,2,v India,Pune,2021/03/26,England,0,0,-,,,,,,,,,,
MA Wood,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,Chester-le-Street,2021/06/29,England,0,0,-,,,,,,,,,,
AU Rashid,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,Chester-le-Street,2021/06/29,England,0,0,-,,,,,,,,,,
DJ Willey,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,Chester-le-Street,2021/06/29,England,0,0,-,,,,,,,,,,
CR Woakes,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,Chester-le-Street,2021/06/29,England,0,0,-,,,,,,,,,,
SW Billings,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,The Oval,2021/07/01,England,0,0,-,,,,,,,,,,
AU Rashid,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,The Oval,2021/07/01,England,0,0,-,,,,,,,,,,
TK Curran,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,The Oval,2021/07/01,England,0,0,-,,,,,,,,,,
MM Ali,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,The Oval,2021/07/01,England,0,0,-,,,,,,,,,,
DJ Willey,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,The Oval,2021/07/01,England,0,0,-,,,,,,,,,,
SM Curran,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,The Oval,2021/07/01,England,0,0,-,,,,,,,,,,
MA Wood,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,The Oval,2021/07/01,England,0,0,-,,,,,,,,,,
AU Rashid,TDNB,-,-,0,0,-,-,-,-,-,v Sri Lanka,Bristol,2021/07/04,England,0,0,-,,,,,,,,,,
TK Curran,TDNB,-,-,0,0,-,-,-,-,-,v Sri Lanka,Bristol,2021/07/04,England,0,0,-,,,,,,,,,,
MM Ali,TDNB,-,-,0,0,-,-,-,-,-,v Sri Lanka,Bristol,2021/07/04,England,0,0,-,,,,,,,,,,
JE Root,TDNB,-,-,0,0,-,-,-,-,-,v Sri Lanka,Bristol,2021/07/04,England,0,0,-,,,,,,,,,,
SW Billings,TDNB,-,-,0,0,-,-,-,-,-,v Sri Lanka,Bristol,2021/07/04,England,0,0,-,,,,,,,,,,
CR Woakes,TDNB,-,-,0,0,-,-,-,-,-,v Sri Lanka,Bristol,2021/07/04,England,0,0,-,,,,,,,,,,
SM Curran,TDNB,-,-,0,0,-,-,-,-,-,v Sri Lanka,Bristol,2021/07/04,England,0,0,-,,,,,,,,,,
EJG Morgan,TDNB,-,-,0,0,-,-,-,-,-,v Sri Lanka,Bristol,2021/07/04,England,0,0,-,,,,,,,,,,
DJ Willey,TDNB,-,-,0,0,-,-,-,-,-,v Sri Lanka,Bristol,2021/07/04,England,0,0,-,,,,,,,,,,
JJ Roy,TDNB,-,-,0,0,-,-,-,-,-,v Sri Lanka,Bristol,2021/07/04,England,0,0,-,,,,,,,,,,
JM Bairstow,TDNB,-,-,0,0,-,-,-,-,-,v Sri Lanka,Bristol,2021/07/04,England,0,0,-,,,,,,,,,,
JA Simpson,DNB,-,-,0,0,-,-,-,-,2,v Pakistan,Cardiff,2021/07/08,England,0,0,-,,,,,,,,,,
S Mahmood,DNB,-,-,0,0,-,-,-,-,2,v Pakistan,Cardiff,2021/07/08,England,0,0,-,,,,,,,,,,
C Overton,DNB,-,-,0,0,-,-,-,-,2,v Pakistan,Cardiff,2021/07/08,England,0,0,-,,,,,,,,,,
BA Stokes,DNB,-,-,0,0,-,-,-,-,2,v Pakistan,Cardiff,2021/07/08,England,0,0,-,,,,,,,,,,
MW Parkinson,DNB,-,-,0,0,-,-,-,-,2,v Pakistan,Cardiff,2021/07/08,England,0,0,-,,,,,,,,,,
BA Carse,DNB,-,-,0,0,-,-,-,-,2,v Pakistan,Cardiff,2021/07/08,England,0,0,-,,,,,,,,,,
L Gregory,DNB,-,-,0,0,-,-,-,-,2,v Pakistan,Cardiff,2021/07/08,England,0,0,-,,,,,,,,,,
JM Vince,DNB,-,-,0,0,-,-,-,-,2,v Pakistan,Cardiff,2021/07/08,England,0,0,-,,,,,,,,,,
MW Parkinson,DNB,-,-,0,0,-,-,-,-,2,v Pakistan,Birmingham,2021/07/13,England,0,0,-,,,,,,,,,,
S Mahmood,DNB,-,-,0,0,-,-,-,-,2,v Pakistan,Birmingham,2021/07/13,England,0,0,-,,,,,,,,,,
AT Carey,67,67,91,1,0,87,5,2,77.01,1,v West Indies,Bridgetown,2021/07/20,Australia,1,0,50-99,,,,,,,,,,
MS Wade,51*,51,72,1,1,52,5,2,98.07,2,v West Indies,Bridgetown,2021/07/26,Australia,1,0,50-99,,,,,,,,,,
AJ Turner,49,49,80,1,0,45,2,2,108.88,1,v West Indies,Bridgetown,2021/07/20,Australia,0,0,0-49,,,,,,,,,,
WA Agar,41,41,38,1,0,36,3,2,113.88,1,v West Indies,Bridgetown,2021/07/22,Australia,0,0,0-49,,,,,,,,,,
JR Philippe,39,39,45,1,0,42,4,2,92.85,1,v West Indies,Bridgetown,2021/07/20,Australia,0,0,0-49,,,,,,,,,,
MS Wade,36,36,118,1,0,68,2,0,52.94,1,v West Indies,Bridgetown,2021/07/22,Australia,0,0,0-49,,,,,,,,,,
A Zampa,36,36,84,1,0,62,4,0,58.06,1,v West Indies,Bridgetown,2021/07/22,Australia,0,0,0-49,,,,,,,,,,
AT Carey,35,35,87,1,0,50,3,0,70.00,2,v West Indies,Bridgetown,2021/07/26,Australia,0,0,0-49,,,,,,,,,,
MR Marsh,29,29,31,1,0,21,1,3,138.09,2,v West Indies,Bridgetown,2021/07/26,Australia,0,0,0-49,,,,,,,,,,
BR McDermott,28,28,111,1,0,48,2,0,58.33,1,v West Indies,Bridgetown,2021/07/20,Australia,0,0,0-49,,,,,,,,,,
MR Marsh,20,20,25,1,0,22,3,0,90.90,1,v West Indies,Bridgetown,2021/07/20,Australia,0,0,0-49,,,,,,,,,,
AC Agar,19*,19,44,1,1,33,3,0,57.57,2,v West Indies,Bridgetown,2021/07/26,Australia,0,0,0-49,,,,,,,,,,
MA Starc,19,19,68,1,0,43,2,0,44.18,1,v West Indies,Bridgetown,2021/07/22,Australia,0,0,0-49,,,,,,,,,,
JR Philippe,16,16,32,1,0,24,3,0,66.66,1,v West Indies,Bridgetown,2021/07/22,Australia,0,0,0-49,,,,,,,,,,
A Zampa,12*,12,13,1,1,7,2,0,171.42,1,v West Indies,Bridgetown,2021/07/20,Australia,0,0,0-49,,,,,,,,,,
AT Carey,10,10,19,1,0,15,1,0,66.66,1,v West Indies,Bridgetown,2021/07/22,Australia,0,0,0-49,,,,,,,,,,
JR Philippe,10,10,39,1,0,23,1,0,43.47,2,v West Indies,Bridgetown,2021/07/26,Australia,0,0,0-49,,,,,,,,,,
WA Agar,9,9,11,1,0,6,1,0,150.00,1,v West Indies,Bridgetown,2021/07/20,Australia,0,0,0-49,,,,,,,,,,
MA Starc,8,8,9,1,0,7,1,0,114.28,1,v West Indies,Bridgetown,2021/07/20,Australia,0,0,0-49,,,,,,,,,,
MR Marsh,8,8,31,1,0,17,1,0,47.05,1,v West Indies,Bridgetown,2021/07/22,Australia,0,0,0-49,,,,,,,,,,
MC Henriques,7,7,25,1,0,24,0,0,29.16,1,v West Indies,Bridgetown,2021/07/20,Australia,0,0,0-49,,,,,,,,,,
MC Henriques,4,4,29,1,0,13,0,0,30.76,1,v West Indies,Bridgetown,2021/07/22,Australia,0,0,0-49,,,,,,,,,,
MS Wade,3,3,15,1,0,4,0,0,75.00,1,v West Indies,Bridgetown,2021/07/20,Australia,0,0,0-49,,,,,,,,,,
JR Hazlewood,1*,1,2,1,1,2,0,0,50.00,1,v West Indies,Bridgetown,2021/07/20,Australia,0,0,0-49,,,,,,,,,,
AJ Turner,1,1,10,1,0,4,0,0,25.00,1,v West Indies,Bridgetown,2021/07/22,Australia,0,0,0-49,,,,,,,,,,
MC Henriques,1,1,14,1,0,4,0,0,25.00,2,v West Indies,Bridgetown,2021/07/26,Australia,0,0,0-49,,,,,,,,,,
RP Meredith,0*,0,2,1,1,0,0,0,-,1,v West Indies,Bridgetown,2021/07/22,Australia,0,0,0-49,,,,,,,,,,
BR McDermott,0,0,5,1,0,2,0,0,0.00,1,v West Indies,Bridgetown,2021/07/22,Australia,0,0,0-49,,,,,,,,,,
AJ Turner,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Bridgetown,2021/07/26,Australia,0,0,-,,,,,,,,,,
JR Hazlewood,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Bridgetown,2021/07/26,Australia,0,0,-,,,,,,,,,,
