Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
Fakhar Zaman,210*,210,221,1,1,156,24,5,134.61,1,v Zimbabwe,Bulawayo,2018/07/20,Pakistan,0,1,200+,,,,,,,,,,
Sharjeel Khan,152,152,-,1,0,86,16,9,176.74,1,v Ireland,Dublin (Malahide),2016/08/18,Pakistan,0,1,150-199,,,,,,,,,,
Imam-ul-Haq,151,151,211,1,0,131,16,1,115.26,1,v England,Bristol,2019/05/14,Pakistan,0,1,150-199,,,,,,,,,,
Mohammad Hafeez,140*,140,203,1,1,136,11,3,102.94,1,v Sri Lanka,Sharjah,2013/12/22,Pakistan,0,1,100-149,,,,,,,,,,
Mohammad Hafeez,139*,139,191,1,1,147,13,1,94.55,2,v Zimbabwe,Harare,2011/09/11,Pakistan,0,1,100-149,,,,,,,,,,
Fakhar Zaman,138,138,136,1,0,106,12,4,130.18,2,v England,Southampton,2019/05/11,Pakistan,0,1,100-149,,,,,,,,,,
Mohammad Hafeez,136*,136,205,1,1,130,9,5,104.61,1,v Zimbabwe,Harare,2013/08/29,Pakistan,0,1,100-149,,,,,,,,,,
Haris Sohail,130,130,-,1,0,129,11,3,100.77,2,v Australia,Dubai (DSC),2019/03/31,Pakistan,0,1,100-149,,,,,,,,,,
Imam-ul-Haq,128,128,188,1,0,134,11,0,95.52,1,v Zimbabwe,Bulawayo,2018/07/13,Pakistan,0,1,100-149,,,,,,,,,,
Babar Azam,125*,125,-,1,1,132,7,3,94.69,1,v West Indies,Providence,2017/04/09,Pakistan,0,1,100-149,,,,,,,,,,
Babar Azam,125,125,201,1,0,125,13,1,100.00,2,v Zimbabwe,Rawalpindi,2020/11/03,Pakistan,0,1,100-149,,,,,,,,,,
Ahmed Shehzad,124,124,189,1,0,140,8,0,88.57,1,v Sri Lanka,Dubai (DSC),2013/12/20,Pakistan,0,1,100-149,,,,,,,,,,
Babar Azam,123,123,164,1,0,126,9,1,97.61,1,v West Indies,Sharjah,2016/10/02,Pakistan,0,1,100-149,,,,,,,,,,
Mohammad Hafeez,122*,122,-,1,1,113,12,2,107.96,1,v Ireland,Dublin,2013/05/23,Pakistan,0,1,100-149,,,,,,,,,,
Mohammad Hafeez,122,122,181,1,0,129,7,4,94.57,1,v Sri Lanka,Sharjah,2013/12/18,Pakistan,0,1,100-149,,,,,,,,,,
Mohammad Hafeez,121,121,179,1,0,138,7,3,87.68,1,v West Indies,Bridgetown,2011/05/02,Pakistan,0,1,100-149,,,,,,,,,,
Babar Azam,120,120,177,1,0,131,8,3,91.60,1,v West Indies,Sharjah,2016/09/30,Pakistan,0,1,100-149,,,,,,,,,,
Fakhar Zaman,117*,117,144,1,1,129,16,0,90.69,2,v Zimbabwe,Bulawayo,2018/07/16,Pakistan,0,1,100-149,,,,,,,,,,
