Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
IA Karim,112,112,-,1,0,137,11,0,81.75,2,v Canada,ICCA Dubai,2013/03/13,Kenya,0,1,100-149,,,,,,,,,,
IA Karim,108,108,121,1,0,84,16,0,128.57,2,v Netherlands,Lincoln,2014/01/23,Kenya,0,1,100-149,,,,,,,,,,
CO Obuya,98*,98,199,1,1,129,9,3,75.96,2,v Australia,Bengaluru,2011/03/13,Kenya,1,0,50-99,,,,,,,,,,
AA Obanda,89,89,156,1,0,101,8,1,88.11,1,v Scotland,Christchurch,2014/01/30,Kenya,1,0,50-99,,,,,,,,,,
RG Aga,86,86,74,1,0,70,12,0,122.85,2,v Netherlands,Lincoln,2014/01/23,Kenya,1,0,50-99,,,,,,,,,,
T Mishra,72,72,92,1,0,89,8,1,80.89,2,v Australia,Bengaluru,2011/03/13,Kenya,1,0,50-99,,,,,,,,,,
SR Waters,71,71,107,1,0,100,3,1,71.00,1,v Netherlands,The Hague,2011/09/12,Kenya,1,0,50-99,,,,,,,,,,
T Mishra,70*,70,105,1,1,76,6,0,92.10,2,v Ireland,Mombasa,2012/02/18,Kenya,1,0,50-99,,,,,,,,,,
IA Karim,65,65,-,1,0,108,5,0,60.18,2,v Canada,ICCA Dubai,2013/03/11,Kenya,1,0,50-99,,,,,,,,,,
T Mishra,61,61,-,1,0,56,4,0,108.92,2,v Scotland,Aberdeen,2013/06/30,Kenya,1,0,50-99,,,,,,,,,,
T Mishra,59,59,-,1,0,82,2,0,71.95,1,v Scotland,Aberdeen,2013/07/02,Kenya,1,0,50-99,,,,,,,,,,
CO Obuya,57,57,-,1,0,73,5,0,78.08,2,v Canada,ICCA Dubai,2013/03/13,Kenya,1,0,50-99,,,,,,,,,,
