Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
AD Hales,116*,116,97,1,1,64,11,6,181.25,2,v Sri Lanka,Chattogram,2014/03/27,England,0,1,100-149,,,,,,,,,,
DJ Malan,103*,103,79,1,1,51,9,6,201.96,1,v New Zealand,Napier,2019/11/08,England,0,1,100-149,,,,,,,,,,
LJ Wright,99*,99,83,1,1,55,8,6,180.00,1,v Afghanistan,Colombo (RPS),2012/09/21,England,1,0,50-99,,,,,,,,,,
DJ Malan,99*,99,-,1,1,47,11,5,210.63,2,v South Africa,Cape Town,2020/12/01,England,1,0,50-99,,,,,,,,,,
AD Hales,99,99,84,1,0,68,6,4,145.58,2,v West Indies,Nottingham,2012/06/24,England,1,0,50-99,,,,,,,,,,
AD Hales,94,94,80,1,0,61,11,2,154.09,1,v Australia,Chester-le-Street,2013/08/31,England,1,0,50-99,,,,,,,,,,
EJG Morgan,91,91,59,1,0,41,7,7,221.95,1,v New Zealand,Napier,2019/11/08,England,1,0,50-99,,,,,,,,,,
JE Root,90*,90,77,1,1,49,13,1,183.67,2,v Australia,Southampton,2013/08/29,England,1,0,50-99,,,,,,,,,,
SW Billings,87,87,-,1,0,47,10,3,185.10,1,v West Indies,Basseterre,2019/03/08,England,1,0,50-99,,,,,,,,,,
JM Bairstow,86*,86,-,1,1,48,9,4,179.16,2,v South Africa,Cape Town,2020/11/27,England,1,0,50-99,,,,,,,,,,
JE Root,83,83,70,1,0,44,6,4,188.63,2,v South Africa,Mumbai,2016/03/18,England,1,0,50-99,,,,,,,,,,
AD Hales,80*,80,50,1,1,42,9,4,190.47,2,v New Zealand,Wellington,2013/02/15,England,1,0,50-99,,,,,,,,,,
EJG Morgan,80*,80,75,1,1,46,4,6,173.91,1,v New Zealand,Hamilton,2018/02/18,England,1,0,50-99,,,,,,,,,,
JJ Roy,78,78,50,1,0,44,11,2,177.27,2,v New Zealand,Delhi,2016/03/30,England,1,0,50-99,,,,,,,,,,
DJ Malan,78,78,60,1,0,44,12,2,177.27,1,v South Africa,Cardiff,2017/06/25,England,1,0,50-99,,,,,,,,,,
JC Buttler,77*,77,-,1,1,54,8,2,142.59,2,v Australia,Southampton,2020/09/06,England,1,0,50-99,,,,,,,,,,
LJ Wright,76,76,59,1,0,43,5,5,176.74,2,v New Zealand,Pallekele,2012/09/29,England,1,0,50-99,,,,,,,,,,
EJG Morgan,74,74,50,1,0,39,3,7,189.74,1,v Australia,Cardiff,2015/08/31,England,1,0,50-99,,,,,,,,,,
JC Buttler,73*,73,-,1,1,49,3,4,148.97,2,v Sri Lanka,Southampton,2016/07/05,England,1,0,50-99,,,,,,,,,,
MM Ali,72*,72,70,1,1,46,6,3,156.52,1,v Australia,Cardiff,2015/08/31,England,1,0,50-99,,,,,,,,,,
EJG Morgan,71*,71,46,1,1,36,4,5,197.22,2,v West Indies,Pallekele,2012/09/27,England,1,0,50-99,,,,,,,,,,
EJG Morgan,71,71,36,1,0,31,3,7,229.03,1,v India,Birmingham,2014/09/07,England,1,0,50-99,,,,,,,,,,
T Banton,71,71,-,1,0,42,4,5,169.04,1,v Pakistan,Manchester,2020/08/28,England,1,0,50-99,,,,,,,,,,
JJ Roy,70,70,63,1,0,38,7,3,184.21,2,v South Africa,East London,2020/02/12,England,1,0,50-99,,,,,,,,,,
JC Buttler,69,69,-,1,0,46,8,2,150.00,1,v India,Manchester,2018/07/03,England,1,0,50-99,,,,,,,,,,
JJ Roy,69,69,-,1,0,36,4,6,191.66,1,v Sri Lanka,Colombo (RPS),2018/10/27,England,1,0,50-99,,,,,,,,,,
AD Hales,68,68,80,1,0,51,5,2,133.33,2,v West Indies,Pallekele,2012/09/27,England,1,0,50-99,,,,,,,,,,
JE Root,68,68,60,1,0,46,8,1,147.82,1,v New Zealand,Manchester,2015/06/23,England,1,0,50-99,,,,,,,,,,
JM Bairstow,68,68,-,1,0,40,9,2,170.00,2,v West Indies,Gros Islet,2019/03/05,England,1,0,50-99,,,,,,,,,,
JC Buttler,67*,67,-,1,1,46,3,5,145.65,2,v South Africa,Cape Town,2020/12/01,England,1,0,50-99,,,,,,,,,,
SR Patel,67,67,65,1,0,48,8,2,139.58,2,v Sri Lanka,Pallekele,2012/10/01,England,1,0,50-99,,,,,,,,,,
JC Buttler,67,67,60,1,0,43,5,3,155.81,1,v West Indies,Bridgetown,2014/03/11,England,1,0,50-99,,,,,,,,,,
JJ Roy,67,67,72,1,0,45,9,1,148.88,2,v South Africa,Taunton,2017/06/23,England,1,0,50-99,,,,,,,,,,
JJ Roy,67,67,-,1,0,31,4,7,216.12,1,v India,Bristol,2018/07/08,England,1,0,50-99,,,,,,,,,,
JC Buttler,66*,66,47,1,1,37,8,2,178.37,1,v Sri Lanka,Delhi,2016/03/26,England,1,0,50-99,,,,,,,,,,
AD Hales,66,66,77,1,0,41,7,2,160.97,2,v Sri Lanka,The Oval,2014/05/20,England,1,0,50-99,,,,,,,,,,
EJG Morgan,66,66,45,1,0,33,6,4,200.00,2,v Pakistan,Manchester,2020/08/30,England,1,0,50-99,,,,,,,,,,
DJ Malan,66,66,59,1,0,43,5,3,153.48,1,v Australia,Southampton,2020/09/04,England,1,0,50-99,,,,,,,,,,
RS Bopara,65*,65,40,1,1,27,2,7,240.74,2,v Australia,Hobart,2014/01/29,England,1,0,50-99,,,,,,,,,,
JM Bairstow,64,64,50,1,0,34,7,3,188.23,2,v South Africa,Centurion,2020/02/16,England,1,0,50-99,,,,,,,,,,
MJ Lumb,63,63,46,1,0,40,9,2,157.50,1,v West Indies,Bridgetown,2014/03/13,England,1,0,50-99,,,,,,,,,,
AD Hales,62*,62,62,1,1,48,8,1,129.16,2,v West Indies,The Oval,2011/09/23,England,1,0,50-99,,,,,,,,,,
KP Pietersen,62*,62,91,1,1,52,6,1,119.23,1,v Pakistan,Abu Dhabi,2012/02/27,England,1,0,50-99,,,,,,,,,,
JC Buttler,61,61,-,1,0,30,6,5,203.33,1,v Australia,Birmingham,2018/06/27,England,1,0,50-99,,,,,,,,,,
MM Ali,61,61,60,1,0,33,4,4,184.84,2,v Pakistan,Manchester,2020/09/01,England,1,0,50-99,,,,,,,,,,
JM Bairstow,60*,60,57,1,1,46,5,2,130.43,1,v Pakistan,Dubai (DSC),2012/02/25,England,1,0,50-99,,,,,,,,,,
JM Bairstow,60*,60,42,1,1,35,6,2,171.42,2,v South Africa,Southampton,2017/06/21,England,1,0,50-99,,,,,,,,,,
RS Bopara,59,59,75,1,0,44,4,1,134.09,2,v West Indies,Nottingham,2012/06/24,England,1,0,50-99,,,,,,,,,,
DJ Malan,59,59,65,1,0,40,6,2,147.50,2,v New Zealand,Wellington,2018/02/13,England,1,0,50-99,,,,,,,,,,
JM Vince,59,59,-,1,0,38,7,2,155.26,2,v New Zealand,Christchurch,2019/11/01,England,1,0,50-99,,,,,,,,,,
C Kieswetter,58*,58,62,1,1,49,3,2,118.36,2,v West Indies,The Oval,2011/09/23,England,1,0,50-99,,,,,,,,,,
AD Hales,58*,58,-,1,1,41,4,3,141.46,2,v India,Cardiff,2018/07/06,England,1,0,50-99,,,,,,,,,,
EJG Morgan,57*,57,-,1,1,29,5,3,196.55,2,v Pakistan,Cardiff,2019/05/05,England,1,0,50-99,,,,,,,,,,
EJG Morgan,57*,57,34,1,1,22,0,7,259.09,2,v South Africa,Centurion,2020/02/16,England,1,0,50-99,,,,,,,,,,
EJG Morgan,57,57,73,1,0,38,7,2,150.00,2,v Sri Lanka,Chattogram,2014/03/27,England,1,0,50-99,,,,,,,,,,
JC Buttler,57,57,43,1,0,29,9,2,196.55,2,v South Africa,Centurion,2020/02/16,England,1,0,50-99,,,,,,,,,,
AD Hales,56,56,52,1,0,35,7,2,160.00,1,v India,Pune,2012/12/20,England,1,0,50-99,,,,,,,,,,
JE Root,55,55,-,1,0,40,7,0,137.50,1,v West Indies,Basseterre,2019/03/08,England,1,0,50-99,,,,,,,,,,
DJ Malan,55,55,42,1,0,34,8,1,161.76,2,v New Zealand,Nelson,2019/11/05,England,1,0,50-99,,,,,,,,,,
JM Bairstow,55,55,65,1,0,44,3,3,125.00,1,v Australia,Southampton,2020/09/08,England,1,0,50-99,,,,,,,,,,
DJ Malan,55,55,-,1,0,40,7,1,137.50,2,v South Africa,Paarl,2020/11/29,England,1,0,50-99,,,,,,,,,,
DJ Malan,54*,54,65,1,1,36,6,1,150.00,2,v Pakistan,Manchester,2020/08/30,England,1,0,50-99,,,,,,,,,,
JC Buttler,54,54,35,1,0,30,9,1,180.00,2,v New Zealand,Hamilton,2013/02/12,England,1,0,50-99,,,,,,,,,,
JC Buttler,54,54,40,1,0,28,4,4,192.85,1,v South Africa,Johannesburg,2016/02/21,England,1,0,50-99,,,,,,,,,,
JE Root,54,54,62,1,0,36,7,0,150.00,1,v West Indies,Kolkata,2016/04/03,England,1,0,50-99,,,,,,,,,,
MJ Lumb,53*,53,50,1,1,34,1,5,155.88,2,v New Zealand,Wellington,2013/02/15,England,1,0,50-99,,,,,,,,,,
KP Pietersen,53,53,42,1,0,39,5,3,135.89,2,v India,Kolkata,2011/10/29,England,1,0,50-99,,,,,,,,,,
SW Billings,53,53,27,1,0,25,5,2,212.00,1,v Pakistan,Dubai (DSC),2015/11/26,England,1,0,50-99,,,,,,,,,,
DJ Malan,53,53,41,1,0,36,2,5,147.22,1,v New Zealand,Hamilton,2018/02/18,England,1,0,50-99,,,,,,,,,,
LJ Wright,52,52,53,1,0,34,6,1,152.94,2,v New Zealand,The Oval,2013/06/25,England,1,0,50-99,,,,,,,,,,
