Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
PD Salt,119,119,80,1,0,57,7,10,208.77,1,v West Indies,Tarouba,2023/12/19,England,0,1,100-149,,,,,,,,,,
PD Salt,109*,109,95,1,1,56,4,9,194.64,2,v West Indies,"St George's",2023/12/16,England,0,1,100-149,,,,,,,,,,
JM Bairstow,86*,86,92,1,1,60,8,4,143.33,1,v New Zealand,Manchester,2023/09/01,England,1,0,50-99,,,,,,,,,,
JM Bairstow,73,73,49,1,0,41,5,6,178.04,1,v New Zealand,Nottingham,2023/09/05,England,1,0,50-99,,,,,,,,,,
JC Buttler,67,67,71,1,0,42,4,4,159.52,1,v Bangladesh,Chattogram,2023/03/09,England,1,0,50-99,,,,,,,,,,
HC Brook,67,67,45,1,0,36,5,5,186.11,1,v New Zealand,Manchester,2023/09/01,England,1,0,50-99,,,,,,,,,,
JC Buttler,55,55,39,1,0,29,6,3,189.65,1,v West Indies,Tarouba,2023/12/19,England,1,0,50-99,,,,,,,,,,
LS Livingstone,54*,54,29,1,1,21,4,4,257.14,1,v West Indies,Tarouba,2023/12/19,England,1,0,50-99,,,,,,,,,,
DJ Malan,54,54,53,1,0,42,5,2,128.57,2,v New Zealand,Chester-le-Street,2023/08/30,England,1,0,50-99,,,,,,,,,,
DJ Malan,53,53,65,1,0,47,6,2,112.76,2,v Bangladesh,Mirpur,2023/03/14,England,1,0,50-99,,,,,,,,,,
JC Buttler,51,51,46,1,0,34,5,2,150.00,2,v West Indies,"St George's",2023/12/16,England,1,0,50-99,,,,,,,,,,
SM Curran,50,50,50,1,0,32,4,3,156.25,2,v West Indies,"St George's",2023/12/14,England,1,0,50-99,,,,,,,,,,
HC Brook,43*,43,33,1,1,27,2,3,159.25,2,v New Zealand,Chester-le-Street,2023/08/30,England,0,0,0-49,,,,,,,,,,
JC Buttler,40,40,64,1,0,31,4,1,129.03,2,v Bangladesh,Mirpur,2023/03/14,England,0,0,0-49,,,,,,,,,,
JC Buttler,40,40,33,1,0,21,3,3,190.47,2,v New Zealand,Birmingham,2023/09/03,England,0,0,0-49,,,,,,,,,,
PD Salt,40,40,21,1,0,20,6,1,200.00,1,v West Indies,Bridgetown,2023/12/12,England,0,0,0-49,,,,,,,,,,
JC Buttler,39,39,55,1,0,31,5,1,125.80,1,v West Indies,Bridgetown,2023/12/12,England,0,0,0-49,,,,,,,,,,
