Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
E Lewis,125*,125,-,1,1,62,6,12,201.61,2,v India,Kingston,2017/07/09,West Indies,0,1,100-149,,,,,,,,,,
CH Gayle,100*,100,94,1,1,48,5,11,208.33,2,v England,Mumbai,2016/03/16,West Indies,0,1,100-149,,,,,,,,,,
E Lewis,100,100,76,1,0,49,5,9,204.08,1,v India,Lauderhill,2016/08/27,West Indies,0,1,100-149,,,,,,,,,,
LMP Simmons,91*,91,-,1,1,40,5,10,227.50,2,v Ireland,Basseterre,2020/01/19,West Indies,1,0,50-99,,,,,,,,,,
E Lewis,91,91,-,1,0,51,5,9,178.43,2,v Pakistan,Port of Spain,2017/04/01,West Indies,1,0,50-99,,,,,,,,,,
CH Gayle,90,90,63,1,0,41,9,7,219.51,2,v South Africa,Johannesburg,2015/01/11,West Indies,1,0,50-99,,,,,,,,,,
MN Samuels,89*,89,-,1,1,66,9,3,134.84,2,v Afghanistan,Basseterre,2017/06/05,West Indies,1,0,50-99,,,,,,,,,,
E Lewis,89,89,-,1,0,36,6,8,247.22,1,v Bangladesh,Dhaka,2018/12/22,West Indies,1,0,50-99,,,,,,,,,,
CH Gayle,85*,85,87,1,1,52,7,5,163.46,1,v New Zealand,Lauderhill,2012/06/30,West Indies,1,0,50-99,,,,,,,,,,
MN Samuels,85*,85,87,1,1,43,3,9,197.67,1,v Bangladesh,Dhaka,2012/12/10,West Indies,1,0,50-99,,,,,,,,,,
MN Samuels,85*,85,92,1,1,66,9,2,128.78,2,v England,Kolkata,2016/04/03,West Indies,1,0,50-99,,,,,,,,,,
ADS Fletcher,84*,84,73,1,1,64,6,5,131.25,2,v Sri Lanka,Bengaluru,2016/03/20,West Indies,1,0,50-99,,,,,,,,,,
J Charles,84,84,77,1,0,56,10,3,150.00,1,v England,Pallekele,2012/09/27,West Indies,1,0,50-99,,,,,,,,,,
LMP Simmons,82*,82,80,1,1,51,7,5,160.78,2,v India,Mumbai,2016/03/31,West Indies,1,0,50-99,,,,,,,,,,
J Charles,79,79,42,1,0,33,6,7,239.39,1,v India,Lauderhill,2016/08/27,West Indies,1,0,50-99,,,,,,,,,,
MN Samuels,78,78,70,1,0,56,3,6,139.28,1,v Sri Lanka,Colombo (RPS),2012/10/07,West Indies,1,0,50-99,,,,,,,,,,
CH Gayle,77,77,44,1,0,31,5,8,248.38,2,v South Africa,Cape Town,2015/01/09,West Indies,1,0,50-99,,,,,,,,,,
CH Gayle,75*,75,98,1,1,41,5,6,182.92,1,v Australia,Colombo (RPS),2012/10/05,West Indies,1,0,50-99,,,,,,,,,,
KA Pollard,75*,75,63,1,1,37,4,8,202.70,1,v New Zealand,Auckland,2020/11/27,West Indies,1,0,50-99,,,,,,,,,,
DR Smith,72,72,49,1,0,43,10,3,167.44,1,v Bangladesh,Dhaka,2014/03/25,West Indies,1,0,50-99,,,,,,,,,,
DR Smith,70,70,62,1,0,54,5,5,129.62,1,v England,Nottingham,2012/06/24,West Indies,1,0,50-99,,,,,,,,,,
MN Samuels,69*,69,59,1,1,46,10,1,150.00,1,v England,Bridgetown,2014/03/09,West Indies,1,0,50-99,,,,,,,,,,
LMP Simmons,69,69,80,1,0,55,7,2,125.45,2,v England,Bridgetown,2014/03/13,West Indies,1,0,50-99,,,,,,,,,,
E Lewis,68,68,-,1,0,41,4,6,165.85,1,v Afghanistan,Lucknow,2019/11/14,West Indies,1,0,50-99,,,,,,,,,,
KA Pollard,68,68,-,1,0,39,5,6,174.35,2,v India,Mumbai,2019/12/11,West Indies,1,0,50-99,,,,,,,,,,
