Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
LS Livingstone,103,103,62,1,0,43,6,9,239.53,2,v Pakistan,Nottingham,2021/07/16,England,0,1,100-149,,,,,,,,,,
JC Buttler,101*,101,104,1,1,67,6,6,150.74,1,v Sri Lanka,Sharjah,2021/11/01,England,0,1,100-149,,,,,,,,,,
JC Buttler,83*,83,96,1,1,52,5,4,159.61,2,v India,Ahmedabad,2021/03/16,England,1,0,50-99,,,,,,,,,,
DJ Malan,76,76,89,1,0,48,5,4,158.33,1,v Sri Lanka,Southampton,2021/06/26,England,1,0,50-99,,,,,,,,,,
JC Buttler,71*,71,62,1,1,32,5,5,221.87,2,v Australia,Dubai (DSC),2021/10/30,England,1,0,50-99,,,,,,,,,,
JC Buttler,68*,68,70,1,1,55,8,1,123.63,2,v Sri Lanka,Cardiff,2021/06/23,England,1,0,50-99,,,,,,,,,,
DJ Malan,68,68,85,1,0,46,9,2,147.82,2,v India,Ahmedabad,2021/03/20,England,1,0,50-99,,,,,,,,,,
JJ Roy,64,64,47,1,0,36,12,1,177.77,2,v Pakistan,Manchester,2021/07/20,England,1,0,50-99,,,,,,,,,,
JJ Roy,61,61,60,1,0,38,5,3,160.52,2,v Bangladesh,Abu Dhabi,2021/10/27,England,1,0,50-99,,,,,,,,,,
JC Buttler,59,59,65,1,0,39,7,2,151.28,1,v Pakistan,Leeds,2021/07/18,England,1,0,50-99,,,,,,,,,,
JC Buttler,52,52,72,1,0,34,2,4,152.94,2,v India,Ahmedabad,2021/03/20,England,1,0,50-99,,,,,,,,,,
MM Ali,51*,51,59,1,1,37,3,2,137.83,1,v New Zealand,Abu Dhabi,2021/11/10,England,1,0,50-99,,,,,,,,,,
JM Bairstow,51,51,54,1,0,43,5,1,118.60,1,v Sri Lanka,Southampton,2021/06/26,England,1,0,50-99,,,,,,,,,,
JJ Roy,49,49,52,1,0,32,4,3,153.12,2,v India,Ahmedabad,2021/03/12,England,0,0,0-49,,,,,,,,,,
JJ Roy,46,46,65,1,0,35,4,2,131.42,1,v India,Ahmedabad,2021/03/14,England,0,0,0-49,,,,,,,,,,
BA Stokes,46,46,41,1,0,23,4,3,200.00,2,v India,Ahmedabad,2021/03/18,England,0,0,0-49,,,,,,,,,,
DJ Malan,41,41,48,1,0,30,4,1,136.66,1,v New Zealand,Abu Dhabi,2021/11/10,England,0,0,0-49,,,,,,,,,,
JM Bairstow,40*,40,43,1,1,28,5,0,142.85,2,v India,Ahmedabad,2021/03/16,England,0,0,0-49,,,,,,,,,,
JJ Roy,40,40,49,1,0,27,6,1,148.14,2,v India,Ahmedabad,2021/03/18,England,0,0,0-49,,,,,,,,,,
EJG Morgan,40,40,67,1,0,36,1,3,111.11,1,v Sri Lanka,Sharjah,2021/11/01,England,0,0,0-49,,,,,,,,,,
LS Livingstone,38,38,39,1,0,23,2,3,165.21,1,v Pakistan,Leeds,2021/07/18,England,0,0,0-49,,,,,,,,,,
MM Ali,37,37,43,1,0,27,3,2,137.03,2,v South Africa,Sharjah,2021/11/06,England,0,0,0-49,,,,,,,,,,
JJ Roy,36,36,41,1,0,22,4,1,163.63,2,v Sri Lanka,Cardiff,2021/06/23,England,0,0,0-49,,,,,,,,,,
MM Ali,36,36,27,1,0,16,6,1,225.00,1,v Pakistan,Leeds,2021/07/18,England,0,0,0-49,,,,,,,,,,
DJ Malan,33,33,50,1,0,26,3,1,126.92,2,v South Africa,Sharjah,2021/11/06,England,0,0,0-49,,,,,,,,,,
JJ Roy,32,32,41,1,0,13,2,3,246.15,2,v Pakistan,Nottingham,2021/07/16,England,0,0,0-49,,,,,,,,,,
DJ Malan,31,31,49,1,0,33,2,0,93.93,2,v Pakistan,Manchester,2021/07/20,England,0,0,0-49,,,,,,,,,,
LS Livingstone,29*,29,42,1,1,26,0,1,111.53,2,v Sri Lanka,Cardiff,2021/06/24,England,0,0,0-49,,,,,,,,,,
JC Buttler,29,29,41,1,0,24,4,0,120.83,1,v New Zealand,Abu Dhabi,2021/11/10,England,0,0,0-49,,,,,,,,,,
DJ Malan,28*,28,46,1,1,25,3,0,112.00,2,v Bangladesh,Abu Dhabi,2021/10/27,England,0,0,0-49,,,,,,,,,,
JC Buttler,28,28,34,1,0,24,2,1,116.66,2,v India,Ahmedabad,2021/03/12,England,0,0,0-49,,,,,,,,,,
