Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
JM Bairstow,90,90,79,1,0,53,3,8,169.81,1,v South Africa,Bristol,2022/07/27,England,1,0,50-99,,,,,,,,,,
PD Salt,88*,88,79,1,1,41,13,3,214.63,2,v Pakistan,Lahore,2022/09/30,England,1,0,50-99,,,,,,,,,,
AD Hales,86*,86,74,1,1,47,4,7,182.97,2,v India,Adelaide,2022/11/10,England,1,0,50-99,,,,,,,,,,
AD Hales,84,84,78,1,0,51,12,3,164.70,1,v Australia,Perth,2022/10/09,England,1,0,50-99,,,,,,,,,,
DJ Malan,82,82,84,1,0,49,7,4,167.34,1,v Australia,Canberra,2022/10/12,England,1,0,50-99,,,,,,,,,,
HC Brook,81*,81,59,1,1,35,8,5,231.42,1,v Pakistan,Karachi,2022/09/23,England,1,0,50-99,,,,,,,,,,
JC Buttler,80*,80,74,1,1,49,9,3,163.26,2,v India,Adelaide,2022/11/10,England,1,0,50-99,,,,,,,,,,
DJ Malan,78*,78,85,1,1,47,8,3,165.95,1,v Pakistan,Lahore,2022/10/02,England,1,0,50-99,,,,,,,,,,
DJ Malan,77,77,65,1,0,39,6,5,197.43,1,v India,Nottingham,2022/07/10,England,1,0,50-99,,,,,,,,,,
T Banton,73,73,67,1,0,39,3,6,187.17,2,v West Indies,Bridgetown,2022/01/26,England,1,0,50-99,,,,,,,,,,
JC Buttler,73,73,82,1,0,47,7,2,155.31,1,v New Zealand,Brisbane,2022/11/01,England,1,0,50-99,,,,,,,,,,
BM Duckett,70*,70,68,1,1,42,8,1,166.66,1,v Pakistan,Karachi,2022/09/23,England,1,0,50-99,,,,,,,,,,
JC Buttler,68,68,53,1,0,32,8,4,212.50,1,v Australia,Perth,2022/10/09,England,1,0,50-99,,,,,,,,,,
JC Buttler,65*,65,62,1,1,41,7,1,158.53,1,v Australia,Canberra,2022/10/14,England,1,0,50-99,,,,,,,,,,
MM Ali,63,63,41,1,0,28,1,7,225.00,1,v West Indies,Bridgetown,2022/01/29,England,1,0,50-99,,,,,,,,,,
PD Salt,57,57,42,1,0,24,3,5,237.50,2,v West Indies,Bridgetown,2022/01/26,England,1,0,50-99,,,,,,,,,,
MM Ali,55*,55,37,1,1,23,4,4,239.13,1,v Pakistan,Karachi,2022/09/22,England,1,0,50-99,,,,,,,,,,
JM Vince,55,55,66,1,0,35,7,1,157.14,2,v West Indies,Bridgetown,2022/01/30,England,1,0,50-99,,,,,,,,,,
AD Hales,53,53,79,1,0,40,7,0,132.50,2,v Pakistan,Karachi,2022/09/20,England,1,0,50-99,,,,,,,,,,
BA Stokes,52*,52,81,1,1,49,5,1,106.12,2,v Pakistan,Melbourne,2022/11/13,England,1,0,50-99,,,,,,,,,,
JJ Roy,52,52,56,1,0,42,5,3,123.80,1,v West Indies,Bridgetown,2022/01/29,England,1,0,50-99,,,,,,,,,,
MM Ali,52,52,33,1,0,18,2,6,288.88,1,v South Africa,Bristol,2022/07/27,England,1,0,50-99,,,,,,,,,,
AD Hales,52,52,46,1,0,40,7,1,130.00,1,v New Zealand,Brisbane,2022/11/01,England,1,0,50-99,,,,,,,,,,
MM Ali,51*,51,62,1,1,37,2,4,137.83,2,v Pakistan,Lahore,2022/09/28,England,1,0,50-99,,,,,,,,,,
AD Hales,47,47,42,1,0,30,7,1,156.66,2,v Sri Lanka,Sydney,2022/11/05,England,0,0,0-49,,,,,,,,,,
HC Brook,46*,46,55,1,1,29,1,4,158.62,1,v Pakistan,Lahore,2022/10/02,England,0,0,0-49,,,,,,,,,,
JJ Roy,45,45,57,1,0,31,6,2,145.16,1,v West Indies,Bridgetown,2022/01/23,England,0,0,0-49,,,,,,,,,,
MM Ali,44,44,46,1,0,27,4,2,162.96,1,v Australia,Canberra,2022/10/12,England,0,0,0-49,,,,,,,,,,
DJ Malan,43,43,44,1,0,23,1,4,186.95,1,v South Africa,Bristol,2022/07/27,England,0,0,0-49,,,,,,,,,,
BM Duckett,43,43,36,1,0,22,7,0,195.45,1,v Pakistan,Karachi,2022/09/22,England,0,0,0-49,,,,,,,,,,
LS Livingstone,42*,42,53,1,1,29,0,4,144.82,1,v India,Nottingham,2022/07/10,England,0,0,0-49,,,,,,,,,,
HC Brook,42*,42,38,1,1,25,7,0,168.00,2,v Pakistan,Karachi,2022/09/20,England,0,0,0-49,,,,,,,,,,
BA Stokes,42*,42,59,1,1,36,2,0,116.66,2,v Sri Lanka,Sydney,2022/11/05,England,0,0,0-49,,,,,,,,,,
SW Billings,41,41,44,1,0,28,1,2,146.42,2,v West Indies,Bridgetown,2022/01/30,England,0,0,0-49,,,,,,,,,,
WG Jacks,40,40,44,1,0,22,8,0,181.81,1,v Pakistan,Karachi,2022/09/23,England,0,0,0-49,,,,,,,,,,
