Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
DMW Rawlins,63,63,-,1,0,53,6,3,118.86,1,v U.S.A.,Sandys Parish,2019/08/18,Bermuda,1,0,50-99,,,,,,,,,,
JJ Tucker,50*,50,-,1,1,34,6,1,147.05,1,v Singapore,ICCA 2 Dubai,2019/10/20,Bermuda,1,0,50-99,,,,,,,,,,
DMW Rawlins,49,49,-,1,0,31,1,5,158.06,2,v Cayman Is,Sandys Parish,2019/08/21,Bermuda,0,0,0-49,,,,,,,,,,
AC Douglas,47*,47,-,1,1,28,3,4,167.85,2,v Cayman Is,Sandys Parish,2019/08/25,Bermuda,0,0,0-49,,,,,,,,,,
DMW Rawlins,46,46,-,1,0,21,4,3,219.04,2,v Scotland,Dubai (DSC),2019/10/24,Bermuda,0,0,0-49,,,,,,,,,,
KS Leverock,43*,43,-,1,1,24,3,3,179.16,2,v Scotland,Dubai (DSC),2019/10/24,Bermuda,0,0,0-49,,,,,,,,,,
DMW Rawlins,37,37,-,1,0,26,5,2,142.30,2,v Kenya,ICCA Dubai,2019/10/21,Bermuda,0,0,0-49,,,,,,,,,,
O Bascome,37,37,-,1,0,31,2,2,119.35,1,v Namibia,ICCA 2 Dubai,2019/10/23,Bermuda,0,0,0-49,,,,,,,,,,
O Bascome,35,35,-,1,0,16,2,4,218.75,2,v U.S.A.,Sandys Parish,2019/08/22,Bermuda,0,0,0-49,,,,,,,,,,
KS Leverock,33,33,-,1,0,34,4,0,97.05,1,v Canada,Sandys Parish,2019/08/24,Bermuda,0,0,0-49,,,,,,,,,,
AC Douglas,31,31,-,1,0,25,1,3,124.00,1,v Canada,Sandys Parish,2019/08/24,Bermuda,0,0,0-49,,,,,,,,,,
KS Leverock,31,31,-,1,0,15,2,3,206.66,2,v Netherlands,Dubai (DSC),2019/10/26,Bermuda,0,0,0-49,,,,,,,,,,
DAP Darrell,30*,30,-,1,1,23,0,3,130.43,2,v U.S.A.,Sandys Parish,2019/08/22,Bermuda,0,0,0-49,,,,,,,,,,
TS Fray,29,29,-,1,0,31,4,0,93.54,1,v Singapore,ICCA 2 Dubai,2019/10/20,Bermuda,0,0,0-49,,,,,,,,,,
KS Leverock,28*,28,-,1,1,24,2,1,116.66,2,v Cayman Is,Sandys Parish,2019/08/21,Bermuda,0,0,0-49,,,,,,,,,,
MO Jones,27,27,-,1,0,19,0,3,142.10,2,v U.S.A.,Sandys Parish,2019/08/22,Bermuda,0,0,0-49,,,,,,,,,,
DMW Rawlins,25,25,-,1,0,17,4,0,147.05,1,v P.N.G.,ICCA Dubai,2019/10/19,Bermuda,0,0,0-49,,,,,,,,,,
