Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
Ahmed Shehzad,111*,111,96,1,1,62,10,5,179.03,1,v Bangladesh,Dhaka,2014/03/30,Pakistan,0,1,100-149,,,,,,,,,,
Mohammad Hafeez,99*,99,86,1,1,57,10,5,173.68,1,v New Zealand,Hamilton,2020/12/20,Pakistan,1,0,50-99,,,,,,,,,,
Ahmed Shehzad,98*,98,91,1,1,64,6,6,153.12,1,v Zimbabwe,Harare,2013/08/24,Pakistan,1,0,50-99,,,,,,,,,,
Babar Azam,97*,97,-,1,1,58,13,1,167.24,1,v West Indies,Karachi,2018/04/02,Pakistan,1,0,50-99,,,,,,,,,,
Umar Akmal,94,94,70,1,0,54,9,4,174.07,1,v Australia,Dhaka,2014/03/23,Pakistan,1,0,50-99,,,,,,,,,,
Fakhar Zaman,91,91,-,1,0,46,12,3,197.82,2,v Australia,Harare,2018/07/08,Pakistan,1,0,50-99,,,,,,,,,,
Babar Azam,90,90,78,1,0,58,13,1,155.17,2,v South Africa,Johannesburg,2019/02/03,Pakistan,1,0,50-99,,,,,,,,,,
Sarfaraz Ahmed,89*,89,-,1,1,49,10,3,181.63,1,v Scotland,Edinburgh,2018/06/12,Pakistan,1,0,50-99,,,,,,,,,,
Ahmed Shehzad,89,89,-,1,0,55,8,3,161.81,1,v World-XI,Lahore,2017/09/15,Pakistan,1,0,50-99,,,,,,,,,,
Mohammad Rizwan,89,89,103,1,0,59,10,3,150.84,2,v New Zealand,Napier,2020/12/22,Pakistan,1,0,50-99,,,,,,,,,,
Mohammad Hafeez,86*,86,88,1,1,52,4,6,165.38,1,v England,Manchester,2020/09/01,Pakistan,1,0,50-99,,,,,,,,,,
Mohammad Hafeez,86,86,65,1,0,51,9,4,168.62,1,v South Africa,Centurion,2013/03/03,Pakistan,1,0,50-99,,,,,,,,,,
Babar Azam,86,86,-,1,0,52,10,2,165.38,1,v World-XI,Lahore,2017/09/12,Pakistan,1,0,50-99,,,,,,,,,,
Mukhtar Ahmed,83,83,63,1,0,45,12,3,184.44,2,v Zimbabwe,Lahore,2015/05/22,Pakistan,1,0,50-99,,,,,,,,,,
Babar Azam,82,82,68,1,0,55,9,1,149.09,2,v Zimbabwe,Rawalpindi,2020/11/07,Pakistan,1,0,50-99,,,,,,,,,,
Babar Azam,79,79,66,1,0,58,7,2,136.20,1,v New Zealand,Dubai (DSC),2018/11/04,Pakistan,1,0,50-99,,,,,,,,,,
Sarfaraz Ahmed,76*,76,93,1,1,64,8,2,118.75,2,v New Zealand,Dubai (DSC),2014/12/04,Pakistan,1,0,50-99,,,,,,,,,,
Shoaib Malik,75,75,89,1,0,54,8,2,138.88,2,v England,Sharjah,2015/11/30,Pakistan,1,0,50-99,,,,,,,,,,
Fakhar Zaman,73,73,-,1,0,42,9,3,173.80,1,v Australia,Harare,2018/07/05,Pakistan,1,0,50-99,,,,,,,,,,
Imran Nazir,72,72,61,1,0,36,9,3,200.00,2,v Bangladesh,Pallekele,2012/09/25,Pakistan,1,0,50-99,,,,,,,,,,
Mohammad Hafeez,71,71,68,1,0,48,6,3,147.91,1,v Zimbabwe,Harare,2011/09/16,Pakistan,1,0,50-99,,,,,,,,,,
Ahmed Shehzad,70,70,79,1,0,50,6,1,140.00,1,v Zimbabwe,Harare,2013/08/23,Pakistan,1,0,50-99,,,,,,,,,,
Mohammad Hafeez,69,69,63,1,0,36,5,4,191.66,1,v England,Manchester,2020/08/30,Pakistan,1,0,50-99,,,,,,,,,,
Babar Azam,68*,68,-,1,1,55,5,1,123.63,1,v Australia,Abu Dhabi,2018/10/24,Pakistan,1,0,50-99,,,,,,,,,,
Mohammad Hafeez,67*,67,-,1,1,49,9,1,136.73,2,v Bangladesh,Lahore,2020/01/25,Pakistan,1,0,50-99,,,,,,,,,,
Babar Azam,66*,66,-,1,1,44,7,1,150.00,2,v Bangladesh,Lahore,2020/01/25,Pakistan,1,0,50-99,,,,,,,,,,
Haider Ali,66*,66,53,1,1,43,6,3,153.48,2,v Zimbabwe,Rawalpindi,2020/11/08,Pakistan,1,0,50-99,,,,,,,,,,
Babar Azam,65,65,-,1,0,42,5,3,154.76,1,v England,Cardiff,2019/05/05,Pakistan,1,0,50-99,,,,,,,,,,
Umar Akmal,64,64,55,1,0,37,5,4,172.97,1,v South Africa,Cape Town,2013/11/22,Pakistan,1,0,50-99,,,,,,,,,,
Mohammad Hafeez,64,64,70,1,0,42,7,2,152.38,1,v Bangladesh,Kolkata,2016/03/16,Pakistan,1,0,50-99,,,,,,,,,,
Shoaib Malik,63*,63,69,1,1,49,7,3,128.57,2,v U.A.E.,Dhaka,2016/02/29,Pakistan,1,0,50-99,,,,,,,,,,
Mohammad Hafeez,63,63,53,1,0,41,5,3,153.65,1,v South Africa,Cape Town,2013/11/22,Pakistan,1,0,50-99,,,,,,,,,,
Hussain Talat,63,63,-,1,0,41,8,1,153.65,1,v West Indies,Karachi,2018/04/02,Pakistan,1,0,50-99,,,,,,,,,,
Iftikhar Ahmed,62*,62,-,1,1,34,5,3,182.35,1,v Australia,Canberra,2019/11/05,Pakistan,1,0,50-99,,,,,,,,,,
Mukhtar Ahmed,62,62,63,1,0,40,6,1,155.00,2,v Zimbabwe,Lahore,2015/05/24,Pakistan,1,0,50-99,,,,,,,,,,
Mohammad Hafeez,61,61,70,1,0,44,6,2,138.63,2,v India,Bengaluru,2012/12/25,Pakistan,1,0,50-99,,,,,,,,,,
Mohammad Hafeez,61,61,-,1,0,47,8,2,129.78,1,v New Zealand,Auckland,2016/01/15,Pakistan,1,0,50-99,,,,,,,,,,
Fakhar Zaman,61,61,66,1,0,40,3,3,152.50,1,v Zimbabwe,Harare,2018/07/01,Pakistan,1,0,50-99,,,,,,,,,,
Khalid Latif,59*,59,59,1,1,42,8,2,140.47,2,v England,Manchester,2016/09/07,Pakistan,1,0,50-99,,,,,,,,,,
Babar Azam,59*,59,-,1,1,38,5,2,155.26,1,v Australia,Sydney,2019/11/03,Pakistan,1,0,50-99,,,,,,,,,,
Sharjeel Khan,59,59,46,1,0,36,7,3,163.88,2,v England,Manchester,2016/09/07,Pakistan,1,0,50-99,,,,,,,,,,
Sarfaraz Ahmed,58*,58,74,1,1,42,5,2,138.09,1,v Bangladesh,Dhaka,2016/03/02,Pakistan,1,0,50-99,,,,,,,,,,
Shoaib Malik,58*,58,-,1,1,45,5,0,128.88,2,v Bangladesh,Lahore,2020/01/24,Pakistan,1,0,50-99,,,,,,,,,,
Shoaib Malik,57*,57,77,1,1,50,3,3,114.00,2,v India,Bengaluru,2012/12/25,Pakistan,1,0,50-99,,,,,,,,,,
